Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
14,7/19/2008,194.5,Nîmes,Digne-les-Bains,Flat stage,Óscar Freire,ESP
15,7/20/2008,183,Embrun,Prato Nevoso,Mountain stage,Simon Gerrans,AUS
16,7/22/2008,157,Cuneo,Jausiers,Mountain stage,Cyril Dessel,FRA
17,7/23/2008,210.5,Embrun,Alpe d'Huez,Mountain stage,Carlos Sastre,ESP
18,7/24/2008,196.5,Bourg-d'Oisans,Saint-Étienne,Transition stage,Marcus Burghardt,GER
19,7/25/2008,165.5,Roanne,Montluçon,Flat stage,Sylvain Chavanel,FRA
20,7/26/2008,53,Cérilly,Saint-Amand-Montrond,Individual time trial,Fabian Cancellara,SUI
21,7/27/2008,143,Étampes,Paris,Flat stage,Gert Steegmans,BEL
P,7/7/2007,7.9,London,London,Individual time trial,Fabian Cancellara,SUI
1,7/8/2007,203,London,Canterbury,Plain stage,Robbie McEwen,AUS
2,7/9/2007,168.5,Dunkirk,Ghent,Plain stage,Gert Steegmans,BEL
3,7/10/2007,236.5,Waregem - Compiègne,Waregem - Compiègne,Plain stage,Fabian Cancellara,SUI
4,7/11/2007,193,Villers-Cotterêts,Joigny,Plain stage,Thor Hushovd,NOR
5,7/12/2007,182.5,Chablis,Autun,Intermediate stage,Filippo Pozzato,ITA
6,7/13/2007,199.5,Semur-en-Auxois,Bourg-en-Bresse,Plain stage,Tom Boonen,BEL
7,7/14/2007,197.5,Bourg-en-Bresse,Le Grand-Bornand,Mountain stage,Linus Gerdemann,GER
8,7/15/2007,165,Le Grand-Bornand,Tignes,Mountain stage,Michael Rasmussen,DEN
9,7/17/2007,159.5,Val-d'Isère,Briançon,Mountain stage,Mauricio Soler,COL
10,7/18/2007,229.5,Tallard,Marseille,Plain stage,Cédric Vasseur,FRA
11,7/19/2007,182.5,Marseille,Montpellier,Plain stage,Robert Hunter,RSA
12,7/20/2007,178.5,Montpellier,Castres,Intermediate stage,Tom Boonen,BEL
13,7/21/2007,54,Albi,Albi,Individual time trial,Cadel Evans,AUS
14,7/22/2007,197,Mazamet,Plateau-de-Beille,Mountain stage,Alberto Contador,ESP
15,7/23/2007,196,Foix,Loudenvielle,Mountain stage,Kim Kirchen,LUX
16,7/25/2007,218.5,Orthez,Gourette–Col d'Aubisque,Mountain stage,Michael Rasmussen,DEN
17,7/26/2007,188.5,Pau,Castelsarrasin,Intermediate stage,Daniele Bennati,ITA
18,7/27/2007,211,Cahors,Angoulême,Plain stage,Sandy Casar,FRA
19,7/28/2007,55.5,Cognac,Angoulême,Individual time trial,Levi Leipheimer,USA
20,7/29/2007,146,Marcoussis,Paris,Plain stage,Daniele Bennati,ITA
P,7/1/2006,7.1,Strasbourg,Strasbourg,Individual time trial,Thor Hushovd,NOR
1,7/2/2006,184.5,Strasbourg,Strasbourg,Flat stage,Jimmy Casper,FRA
2,7/3/2006,228.5,Obernai,Esch-sur-Alzette,Flat stage,Robbie McEwen,AUS
3,7/4/2006,216.5,Esch-sur-Alzette,Valkenburg,Hilly stage,Matthias Kessler,GER
4,7/5/2006,207,Huy,Saint-Quentin,Flat stage,Robbie McEwen,AUS
5,7/6/2006,225,Beauvais,Caen,Flat stage,Óscar Freire,ESP
6,7/7/2006,189,Lisieux,Vitré,Flat stage,Robbie McEwen,AUS
7,7/8/2006,52,Saint Grégoire,Rennes,Individual time trial,Serhiy Honchar,UKR
8,7/9/2006,181,Saint-Méen-le-Grand,Lorient,Flat stage,Sylvain Calzati,FRA
9,7/11/2006,169.5,Bordeaux,Dax,Flat stage,Óscar Freire,ESP
10,7/12/2006,190.5,Cambo-les-Bains,Pau,Mountain stage,Juan Miguel Mercado,ESP
11,7/13/2006,206.5,Tarbes,Val d'Aran/Pla-de-Beret,Mountain stage,Denis Menchov,RUS
12,7/14/2006,211.5,Luchon,Carcassonne,Hilly stage,Yaroslav Popovych,UKR
13,7/15/2006,230,Béziers,Montélimar,Flat stage,Jens Voigt,GER
14,7/16/2006,180.5,Montélimar,Gap,Hilly stage,Pierrick Fédrigo,FRA
15,7/18/2006,187,Gap,Alpe d'Huez,Mountain stage,Fränk Schleck,LUX
16,7/19/2006,182,Le Bourg-d'Oisans,La Toussuire,Mountain stage,Michael Rasmussen,DEN
17,7/20/2006,200.5,Saint-Jean-de-Maurienne,Morzine,Mountain stage,Carlos Sastre,ESP
18,7/21/2006,197,Morzine,Mâcon,Flat stage,Matteo Tosatto,ITA
19,7/22/2006,57,Le Creusot,Montceau-les-Mines,Individual time trial,Serhiy Honchar,UKR
20,7/23/2006,154.5,Antony/Parc de Sceaux,Paris,Flat stage,Thor Hushovd,NOR
1,7/2/2005,19,Fromentine,Noirmoutier-en-l'Île,Individual time trial,David Zabriskie,USA
2,7/3/2005,181.5,Challans,Les Essarts,Plain stage,Tom Boonen,BEL
3,7/4/2005,212.5,La Châtaigneraie,Tours,Plain stage,Tom Boonen,BEL
4,7/5/2005,67.5,Tours,Blois,Team time trial,Discovery Channel,
5,7/6/2005,183,Chambord,Montargis,Plain stage,Robbie McEwen,AUS
6,7/7/2005,199,Troyes,Nancy,Plain stage,Lorenzo Bernucci,ITA
7,7/8/2005,228.5,Lunéville,Karlsruhe,Plain stage,Robbie McEwen,AUS
8,7/9/2005,231.5,Pforzheim,Gérardmer,Hilly stage,Pieter Weening,NED
9,7/10/2005,171,Gérardmer,Mulhouse,Hilly stage,Michael Rasmussen,DEN
10,7/12/2005,177,Grenoble,Courchevel,Mountain stage,Alejandro Valverde,ESP
11,7/13/2005,173,Courchevel,Briançon,Mountain stage,Alexander Vinokourov,KAZ
12,7/14/2005,187,Briançon,Digne-les-Bains,Hilly stage,David Moncoutié,FRA
13,7/15/2005,173.5,Miramas,Montpellier,Plain stage,Robbie McEwen,AUS
14,7/16/2005,220.5,Agde,Ax 3 Domaines,Mountain stage,Georg Totschnig,AUT
15,7/17/2005,205.5,Lézat-sur-Lèze,Saint-Lary-Soulan Pla d'Adet,Mountain stage,George Hincapie,USA
16,7/19/2005,180.5,Mourenx,Pau,Mountain stage,Óscar Pereiro,ESP
