Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
4,7/9/1997,223,Plumelec,Le Puy du Fou,Flat stage,Nicola Minali,ITA
5,7/10/1997,261.5,Chantonnay,La Châtre,Flat stage,Cédric Vasseur,FRA
6,7/11/1997,217.5,Le Blanc,Marennes,Flat stage,Jeroen Blijlevens,NED
7,7/12/1997,194,Marennes,Bordeaux,Flat stage,Erik Zabel,GER
8,7/13/1997,161.5,Sauternes,Pau,Flat stage,Erik Zabel,GER
9,7/14/1997,182,Pau,Loudenvielle,Mountain stage,Laurent Brochard,FRA
10,7/15/1997,252.5,Luchon,Andorra Arcalis,Mountain stage,Jan Ullrich,GER
11,7/16/1997,192,Andorra Arcalis,Perpignan,Hilly stage,Laurent Desbiens,FRA
12,7/18/1997,55,Saint-Étienne,Saint-Étienne,Individual time trial,Jan Ullrich,GER
13,7/19/1997,203.5,Saint-Étienne,Alpe d'Huez,Mountain stage,Marco Pantani,ITA
14,7/20/1997,148,Le Bourg-d'Oisans,Courchevel,Mountain stage,Richard Virenque,FRA
15,7/21/1997,208.5,Courchevel,Morzine,Mountain stage,Marco Pantani,ITA
16,7/22/1997,181,Morzine,Fribourg,Hilly stage,Christophe Mengin,FRA
17,7/23/1997,218.5,Fribourg,Colmar,Flat stage,Neil Stephens,AUS
18,7/24/1997,175.5,Colmar,Montbéliard,Hilly stage,Didier Rous,FRA
19,7/25/1997,172,Montbéliard,Dijon,Flat stage,Mario Traversoni,ITA
20,7/26/1997,63,Disneyland Paris,Disneyland Paris,Individual time trial,Abraham Olano,ESP
21,7/27/1997,149.5,Disneyland Paris,Paris,Flat stage,Nicola Minali,ITA
P,6/29/1996,9.4,'s-Hertogenbosch,'s-Hertogenbosch,Individual time trial,Alex Zülle,SUI
1,6/30/1996,209,'s-Hertogenbosch,'s-Hertogenbosch,Plain stage,Frédéric Moncassin,FRA
2,7/1/1996,247.5,'s-Hertogenbosch,Wasquehal,Plain stage,Mario Cipollini,ITA
3,7/2/1996,195,Wasquehal,Nogent-sur-Oise,Plain stage,Erik Zabel,GER
4,7/3/1996,232,Soissons,Lac de Madine,Plain stage,Cyril Saugrain,FRA
5,7/4/1996,242,Lac de Madine,Besançon,Plain stage,Jeroen Blijlevens,NED
6,7/5/1996,207,Arc-et-Senans,Aix-les-Bains,Hilly stage,Michael Boogerd,NED
7,7/6/1996,200,Chambéry,Les Arcs,Stage with mountain(s),Luc Leblanc,FRA
8,7/7/1996,30.5,Bourg-Saint-Maurice,Val d'Isère,Individual time trial,Evgueni Berzin,RUS
9,7/8/1996,46,Le Monêtier-les-Bains,Sestriere,Stage with mountain(s),Bjarne Riis,DEN
10,7/9/1996,208.5,Turin,Gap,Hilly stage,Erik Zabel,GER
11,7/11/1996,202,Gap,Valence,Hilly stage,José Jaime Gonzalez,COL
12,7/12/1996,143.5,Valence,Le Puy-en-Velay,Hilly stage,Pascal Richard,SUI
13,7/13/1996,177,Le Puy-en-Velay,Super Besse,Hilly stage,Rolf Sørensen,DEN
14,7/14/1996,186.5,Besse,Tulle,Hilly stage,Djamolidine Abduzhaparov,UZB
15,7/15/1996,176,Brive-la-Gaillarde,Villeneuve-sur-Lot,Plain stage,Massimo Podenzana,ITA
16,7/16/1996,199,Agen,Hautacam,Stage with mountain(s),Bjarne Riis,DEN
17,7/17/1996,262,Argelès-Gazost,Pamplona,Stage with mountain(s),Laurent Dufaux,SUI
18,7/18/1996,154.5,Pamplona,Hendaye,Hilly stage,Bart Voskamp,NED
19,7/19/1996,226.5,Hendaye,Bordeaux,Plain stage,Frédéric Moncassin,FRA
20,7/20/1996,63.5,Bordeaux,Saint-Émilion,Individual time trial,Jan Ullrich,GER
21,7/21/1996,147.5,Palaiseau,Paris,Plain stage,Fabio Baldato,ITA
P,7/1/1995,7.3,Saint-Brieuc,Saint-Brieuc,Individual time trial,Jacky Durand,FRA
1,7/2/1995,233.5,Dinan,Lannion,Plain stage,Fabio Baldato,ITA
2,7/3/1995,235.5,Perros-Guirec,Vitre,Plain stage,Mario Cipollini,ITA
3,7/4/1995,67,Mayenne,Alençon,Team time trial,Gewiss–Ballan,
4,7/5/1995,162,Alençon,Le Havre,Plain stage,Mario Cipollini,ITA
5,7/6/1995,261,Fécamp,Dunkirk,Plain stage,Jeroen Blijlevens,NED
6,7/7/1995,202,Dunkirk,Charleroi,Plain stage,Erik Zabel,GER
7,7/8/1995,203,Charleroi,Liège,Hilly stage,Johan Bruyneel,BEL
8,7/9/1995,54,Huy,Seraing,Individual time trial,Miguel Indurain,ESP
9,7/11/1995,160,Le Grand-Bornand,La Plagne,Stage with mountain(s),Alex Zülle,SUI
10,7/12/1995,162.5,La Plagne,L'Alpe d'Huez,Stage with mountain(s),Marco Pantani,ITA
11,7/13/1995,199,Le Bourg-d'Oisans,Saint-Étienne,Hilly stage,Maximilian Sciandri,GBR
12,7/14/1995,222.5,Saint-Étienne,Mende,Hilly stage,Laurent Jalabert,FRA
13,7/15/1995,245,Mende,Revel,Plain stage,Serhiy Utchakov,UKR
14,7/16/1995,164,Saint-Orens-de-Gameville,Guzet-Neige,Stage with mountain(s),Marco Pantani,ITA
15,7/18/1995,206,Saint-Girons,Cauterets,Stage with mountain(s),Richard Virenque,FRA
16,7/19/1995,149,Tarbes,Pau,Stage with mountain(s),Cancelled,
17,7/20/1995,246,Pau,Bordeaux,Plain stage,Erik Zabel,GER
18,7/21/1995,166.5,Montpon-Ménestérol,Limoges,Plain stage,Lance Armstrong,USA
19,7/22/1995,46.5,Lac de Vassivière,Lac de Vassivière,Individual time trial,Miguel Indurain,ESP
20,7/23/1995,155,Sainte-Geneviève-des-Bois,Paris,Plain stage,Djamolidine Abdoujaparov,UZB
P,7/2/1994,7.2,Lille,Lille,Individual time trial,Chris Boardman,GBR
1,7/3/1994,234,Lille,Armentières,Plain stage,Djamolidine Abdoujaparov,UZB
2,7/4/1994,203.5,Roubaix,Boulogne-sur-Mer,Plain stage,Jean-Paul van Poppel,NED
3,7/5/1994,66.5,Calais,Eurotunnel,Team time trial,GB–MG Maglificio,
4,7/6/1994,204.5,Dover, Brighton,Plain stage,Francisco Cabello,ESP
5,7/7/1994,187,Portsmouth,Portsmouth,Plain stage,Nicola Minali,ITA
6,7/8/1994,270.5,Cherbourg,Rennes,Plain stage,Gianluca Bortolami,ITA
7,7/9/1994,259.5,Rennes,Futuroscope,Plain stage,Ján Svorada,SVK
8,7/10/1994,218.5,Poitiers,Trélissac,Plain stage,Bo Hamburger,DEN
9,7/11/1994,64,Périgueux,Bergerac,Individual time trial,Miguel Indurain,ESP
10,7/12/1994,160.5,Bergerac,Cahors,Plain stage,Jacky Durand,FRA
11,7/13/1994,263.5,Cahors,Hautacam,Stage with mountain(s),Luc Leblanc,FRA
12,7/15/1994,204.5,Lourdes,Luz Ardiden,Stage with mountain(s),Richard Virenque,FRA
13,7/16/1994,223,Bagnères-de-Bigorre,Albi,Plain stage,Bjarne Riis,DEN
14,7/17/1994,202,Castres,Montpellier,Plain stage,Rolf Sørensen,DEN
15,7/18/1994,231,Montpellier,Carpentras,Stage with mountain(s),Eros Poli,ITA
16,7/19/1994,224.5,Valréas,Alpe d'Huez,Stage with mountain(s),Roberto Conti,ITA
17,7/20/1994,149,Le Bourg-d'Oisans,Val Thorens,Stage with mountain(s),Nelson Rodriguez,COL
18,7/21/1994,174.5,Moutiers,Cluses,Stage with mountain(s),Piotr Ugrumov,LAT
19,7/22/1994,47.5,Cluses,Avoriaz,Mountain time trial,Piotr Ugrumov,LAT
20,7/23/1994,208.5,Morzine,Lac Saint-Point,Hilly stage,Djamolidine Abdoujaparov,UZB
21,7/24/1994,175,Disneyland Paris,Paris,Plain stage,Eddy Seigneur,FRA
P,7/3/1993,6.8,Le Puy du Fou,Le Puy du Fou,Individual time trial,Miguel Indurain,ESP
1,7/4/1993,215,Luçon,Les Sables-d'Olonne,Plain stage,Mario Cipollini,ITA
2,7/5/1993,227.5,Les Sables-d'Olonne,Vannes,Plain stage,Wilfried Nelissen,BEL
3,7/6/1993,189.5,Vannes,Dinard,Plain stage,Djamolidine Abdoujaparov,UZB
4,7/7/1993,81,Dinard,Avranches,Team time trial,GB–MG Maglificio,
5,7/8/1993,225.5,Avranches,Évreux,Plain stage,Jesper Skibby,DEN
6,7/9/1993,158,Évreux,Amiens,Plain stage,Johan Bruyneel,BEL
7,7/10/1993,199,Péronne,Châlons-sur-Marne,Plain stage,Bjarne Riis,DEN
8,7/11/1993,184.5,Châlons-sur-Marne,Verdun,Plain stage,Lance Armstrong,USA
9,7/12/1993,59,Lac de Madine,Lac de Madine,Individual time trial,Miguel Indurain,ESP
10,7/14/1993,203,Villard-de-Lans,Serre Chevalier,Stage with mountain(s),Toni Rominger,SUI
11,7/15/1993,179,Serre Chevalier,Isola 2000,Stage with mountain(s),Toni Rominger,SUI
12,7/16/1993,286.5,Isola,Marseille,Plain stage,Fabio Roscioli,ITA
13,7/17/1993,181.5,Marseille,Montpellier,Plain stage,Olaf Ludwig,GER
14,7/18/1993,223,Montpellier,Perpignan,Plain stage,Pascal Lino,FRA
15,7/19/1993,231.5,Perpignan,Pal,Stage with mountain(s),Oliverio Rincón,COL
16,7/21/1993,230,Andorra,Saint-Lary-Soulan Pla d'Adet,Stage with mountain(s),Zenon Jasku?a,POL
17,7/22/1993,190,Tarbes,Pau,Stage with mountain(s),Claudio Chiappucci,ITA
18,7/23/1993,199.5,Orthez,Bordeaux,Plain stage,Djamolidine Abdoujaparov,UZB
19,7/24/1993,48,Brétigny-sur-Orge,Montlhéry,Individual time trial,Toni Rominger,SUI
20,7/25/1993,196.5,Viry-Châtillon,Paris,Plain stage,Djamolidine Abdoujaparov,UZB
P,7/4/1992,8,San Sebastián,San Sebastián,Individual time trial,Miguel Indurain,ESP
1,7/5/1992,194.5,San Sebastián,San Sebastián,Hilly stage,Dominique Arnould,FRA
2,7/6/1992,255,San Sebastián,Pau,Hilly stage,Javier Murguialday,ESP
3,7/7/1992,210,Pau,Bordeaux,Plain stage,Rob Harmeling,NED
4,7/8/1992,63.5,Libourne,Libourne,Team time trial,Panasonic–Sportlife,
5,7/9/1992,196,Nogent-sur-Oise,Wasquehal,Plain stage,Guido Bontempi,ITA
6,7/10/1992,167,Roubaix,Brussels,Plain stage,Laurent Jalabert,FRA
7,7/11/1992,196.5,Brussels,Valkenburg,Plain stage,Gilles Delion,FRA
8,7/12/1992,206.5,Valkenburg,Koblenz,Plain stage,Jan Nevens,BEL
9,7/13/1992,65,Luxembourg City,Luxembourg City,Individual time trial,Miguel Indurain,ESP
10,7/14/1992,217,Luxembourg City,Strasbourg,Plain stage,Jean-Paul van Poppel,NED
11,7/15/1992,249.5,Strasbourg,Mulhouse,Hilly stage,Laurent Fignon,FRA
12,7/16/1992,267.5,Dole,St Gervais,Hilly stage,Rolf Järmann,SUI
13,7/18/1992,254.5,St Gervais,Sestriere,Stage with mountain(s),Claudio Chiappucci,ITA
14,7/19/1992,186.5,Sestriere,Alpe d'Huez,Stage with mountain(s),Andrew Hampsten,USA
15,7/20/1992,198,Le Bourg-d'Oisans,Saint-Étienne,Hilly stage,Franco Chioccioli,ITA
16,7/21/1992,212,Saint-Étienne,La Bourboule,Hilly stage,Stephen Roche,IRE
17,7/22/1992,189,La Bourboule,Montluçon,Plain stage,Jean-Claude Colotti,FRA
18,7/23/1992,212,Montluçon,Tours,Plain stage,Thierry Marie,FRA
19,7/24/1992,64,Tours,Blois,Individual time trial,Miguel Indurain,ESP
20,7/25/1992,222,Blois,Nanterre,Plain stage,Peter De Clercq,BEL
21,7/26/1992,141,La Défense,Paris,Plain stage,Olaf Ludwig,GER
P,7/6/1991,5.4,Lyon,Lyon,Individual time trial,Thierry Marie,FRA
1,7/7/1991,114.5,Lyon,Lyon,Plain stage,Djamolidine Abdoujaparov,URS
2,7/7/1991,36.5,Bron,Chassieu,Team time trial,Ariostea,
3,7/8/1991,210.5,Villeurbanne,Dijon,Plain stage,Etienne De Wilde,BEL
4,7/9/1991,286,Dijon,Reims,Plain stage,Djamolidine Abdoujaparov,URS
5,7/10/1991,149.5,Reims,Valenciennes,Plain stage,Jelle Nijdam,NED
6,7/11/1991,259,Arras,Le Havre,Plain stage,Thierry Marie,FRA
7,7/12/1991,167,Le Havre,Argentan,Plain stage,Jean-Paul van Poppel,NED
8,7/13/1991,73,Argentan,Alençon,Individual time trial,Miguel Indurain,ESP
9,7/14/1991,161,Alençon,Rennes,Plain stage,Mauro Ribeiro,BRA
10,7/15/1991,207.5,Rennes,Quimper,Plain stage,Phil Anderson,AUS
11,7/16/1991,246,Quimper,Saint-Herblain,Plain stage,Charly Mottet,FRA
12,7/18/1991,192,Pau,Jaca,Stage with mountain(s),Charly Mottet,FRA
13,7/19/1991,232,Jaca,Val-Louron,Stage with mountain(s),Claudio Chiappucci,ITA
14,7/20/1991,172.5,St Gaudens,Castres,Plain stage,Bruno Cenghialta,ITA
15,7/21/1991,235,Albi,Ales,Hilly stage,Moreno Argentin,ITA
16,7/22/1991,215,Alès,Gap,Plain stage,Marco Lietti,ITA
17,7/23/1991,125,Gap,Alpe d'Huez,Stage with mountain(s),Gianni Bugno,ITA
18,7/24/1991,255,Le Bourg-d'Oisans,Morzine,Stage with mountain(s),Thierry Claveyrolat,FRA
19,7/25/1991,177,Morzine,Aix-les-Bains,Hilly stage,Dmitri Konychev,URS
20,7/26/1991,160,Aix-les-Bains,Mâcon,Hilly stage,Viatcheslav Ekimov,URS
21,7/27/1991,57,Lugny,Mâcon,Individual time trial,Miguel Indurain,ESP
22,7/28/1991,178,Melun,Paris,Plain stage,Dmitri Konychev,URS
P,6/30/1990,6.3,Futuroscope,Futuroscope,Individual time trial,Thierry Marie,FRA
1,7/1/1990,138.5,Futuroscope,Futuroscope,Plain stage,Frans Maassen,NED
2,7/1/1990,44.5,Futuroscope,Futuroscope,Team time trial,Panasonic–Sportlife,
3,7/2/1990,233,Poitiers,Nantes,Plain stage,Moreno Argentin,ITA
4,7/3/1990,203,Nantes,Mont Saint-Michel,Plain stage,Johan Museeuw,BEL
5,7/4/1990,301,Avranches,Rouen,Plain stage,Gerrit Solleveld,NED
6,7/6/1990,202.5,Sarrebourg,Vittel,Plain stage,Jelle Nijdam,NED
7,7/7/1990,61.5,Vittel,Épinal,Individual time trial,Raúl Alcalá,MEX
8,7/8/1990,181.5,Épinal,Besançon,Plain stage,Olaf Ludwig,GDR
9,7/9/1990,196,Besançon,Geneva,Hilly stage,Massimo Ghirotto,ITA
10,7/10/1990,118.5,Geneva,Saint-Gervais,Stage with mountain(s),Thierry Claveyrolat,FRA
11,7/11/1990,182.5,Saint-Gervais,Alpe d'Huez,Stage with mountain(s),Gianni Bugno,ITA
12,7/12/1990,33.5,Fontaine,Villard-de-Lans,Mountain time trial,Erik Breukink,NED
13,7/14/1990,149,Villard-de-Lans,Saint-Étienne,Hilly stage,Eduardo Chozas,ESP
14,7/15/1990,205,Le Puy-en-Velay,Millau,Hilly stage,Marino Lejarreta,ESP
15,7/16/1990,170,Millau,Revel,Plain stage,Charly Mottet,FRA
16,7/17/1990,215,Blagnac,Luz Ardiden,Stage with mountain(s),Miguel Indurain,ESP
17,7/18/1990,150,Lourdes,Pau,Stage with mountain(s),Dmitri Konychev,URS
18,7/19/1990,202,Pau,Bordeaux,Plain stage,Gianni Bugno,ITA
19,7/20/1990,182.5,Castillon-la-Bataille,Limoges,Plain stage,Guido Bontempi,ITA
20,7/21/1990,45.5,Lac de Vassivière,Lac de Vassivière,Individual time trial,Erik Breukink,NED
21,7/22/1990,182.5,Brétigny-sur-Orge,Paris,Plain stage,Johan Museeuw,BEL
P,7/1/1989,7.8,Luxembourg City,Luxembourg City,Individual time trial,Erik Breukink,NED
1,7/2/1989,135.5,Luxembourg City,Luxembourg City,Plain stage,Acácio da Silva,POR
2,7/2/1989,46,Luxembourg City,Luxembourg City,Team time trial,Super U–Raleigh–Fiat,
3,7/3/1989,241,Luxembourg City,Spa,Plain stage,Raúl Alcalá,MEX
4,7/4/1989,255,Liège,Wasquehal,Flat cobblestone stage,Jelle Nijdam,NED
5,7/6/1989,73,Dinard,Rennes,Individual time trial,Greg LeMond,USA
6,7/7/1989,259,Rennes,Futuroscope,Plain stage,Joël Pelier,FRA
7,7/8/1989,258.5,Poitiers,Bordeaux,Plain stage,Etienne De Wilde,BEL
8,7/9/1989,157,Labastide-d'Armagnac,Pau,Plain stage,Martin Earley,IRE
9,7/10/1989,147,Pau,Cauterets,Stage with mountain(s),Miguel Induráin,ESP
10,7/11/1989,136,Cauterets,Superbagnères,Stage with mountain(s),Robert Millar,GBR
11,7/12/1989,158.5,Luchon,Blagnac,Plain stage,Mathieu Hermans,NED
12,7/13/1989,242,Toulouse,Montpellier,Plain stage,Valerio Tebaldi,ITA
13,7/14/1989,179,Montpellier,Marseille,Plain stage,Vincent Barteau,FRA
14,7/15/1989,240,Marseille,Gap,Hilly stage,Jelle Nijdam,NED
15,7/16/1989,39,Gap,Orcières-Merlette,Mountain time trial,Steven Rooks,NED
16,7/18/1989,175,Gap,Briançon,Stage with mountain(s),Pascal Richard,SUI
17,7/19/1989,165,Briançon,Alpe d'Huez,Stage with mountain(s),Gert-Jan Theunisse,NED
18,7/20/1989,91.5,Le Bourg-d'Oisans,Villard-de-Lans,Stage with mountain(s),Laurent Fignon,FRA
19,7/21/1989,125,Villard-de-Lans,Aix-les-Bains,Stage with mountain(s),Greg LeMond,USA
20,7/22/1989,130,Aix-les-Bains,L'Isle-d'Abeau,Plain stage,Giovanni Fidanza,ITA
21,7/23/1989,24.5,Versailles,Paris,Individual time trial,Greg LeMond,USA
P,7/3/1988,1,Pornichet,La Baule,Individual time trial,Guido Bontempi,ITA
1,7/4/1988,92,Pontchâteau,Machecoul,Plain stage,Steve Bauer,CAN
2,7/4/1988,48,La Haie-Fouassière,Ancenis,Team time trial,Panasonic–Isostar–Colnago–Agu,
3,7/5/1988,213,Nantes,Le Mans,Plain stage,Jean-Paul van Poppel,NED
4,7/6/1988,158,Le Mans,Évreux,Plain stage,Acácio da Silva,POR
5,7/7/1988,148,Neufchâtel-en-Bray,Liévin,Plain stage,Jelle Nijdam,NED
6,7/8/1988,52,Liévin,Wasquehal,Individual time trial,Sean Yates,GBR
7,7/9/1988,225,Wasquehal,Reims,Plain stage,Valerio Tebaldi,ITA
8,7/10/1988,219,Reims,Nancy,Plain stage,Rolf Gölz,GER
9,7/11/1988,161,Nancy,Strasbourg,Hilly stage,Jérôme Simon,FRA
10,7/12/1988,149,Belfort,Besançon,Hilly stage,Jean-Paul van Poppel,NED
11,7/13/1988,232,Besançon,Morzine,Stage with mountain(s),Fabio Parra,COL
12,7/14/1988,227,Morzine,Alpe d'Huez,Stage with mountain(s),Steven Rooks,NED
13,7/15/1988,38,Grenoble,Villard-de-Lans,Mountain time trial,Pedro Delgado,ESP
14,7/17/1988,163,Blagnac,Guzet-Neige,Stage with mountain(s),Massimo Ghirotto,ITA
15,7/18/1988,187,Saint-Girons,Luz Ardiden,Stage with mountain(s),Laudelino Cubino,ESP
16,7/19/1988,35,Luz Ardiden,Pau,Plain stage,Adrie van der Poel,NED
17,7/19/1988,198,Pau,Bordeaux,Plain stage,Jean-Paul van Poppel,NED
18,7/20/1988,94,Ruelle-sur-Touvre,Limoges,Plain stage,Gianni Bugno,ITA
19,7/21/1988,188,Limoges,Puy de Dôme,Hilly stage,Johnny Weltz,DEN
20,7/22/1988,223,Clermont-Ferrand,Chalon-sur-Saône,Plain stage,Thierry Marie,FRA
21,7/23/1988,46,Santenay,Santenay,Individual time trial,Juan Martinéz,ESP
22,7/24/1988,173,Nemours,Paris,Plain stage,Jean-Paul van Poppel,NED
P,7/1/1987,6,West Berlin,West Berlin,Individual time trial,Jelle Nijdam,NED
1,7/2/1987,105,West Berlin,West Berlin,Plain stage,Nico Verhoeven,NED
2,7/2/1987,41,West Berlin,West Berlin,Team time trial,Carrera Jeans–Vagabond,
3,7/4/1987,219,Karlsruhe,Stuttgart,Plain stage,Acácio da Silva,POR
4,7/5/1987,79,Stuttgart,Pforzheim,Plain stage,Herman Frison,BEL
5,7/5/1987,112,Pforzheim,Strasbourg,Plain stage,Marc Sergeant,BEL
6,7/6/1987,169,Strasbourg,Épinal,Plain stage,Christophe Lavainne,FRA
7,7/7/1987,211,Épinal,Troyes,Plain stage,Manuel Jorge Domínguez,ESP
8,7/8/1987,206,Troyes,Épinay-sous-Sénart,Plain stage,Jean-Paul van Poppel,NED
9,7/9/1987,260,Orléans,Renazé,Plain stage,Adrie van der Poel,NED
10,7/10/1987,87,Saumur,Futuroscope,Individual time trial,Stephen Roche,IRE
11,7/11/1987,206,Poitiers,Chaumeil,Hilly stage,Martial Gayant,FRA
12,7/12/1987,228,Brive,Bordeaux,Plain stage,Davis Phinney,USA
13,7/13/1987,219,Bayonne,Pau,Stage with mountain(s),Erik Breukink,NED
14,7/14/1987,166,Pau,Luz Ardiden,Stage with mountain(s),Dag Otto Lauritzen,NOR
15,7/15/1987,164,Tarbes,Blagnac,Plain stage,Rolf Gölz,GER
16,7/16/1987,216,Blagnac,Millau,Hilly stage,Régis Clère,FRA
17,7/17/1987,239,Millau,Avignon,Hilly stage,Jean-Paul van Poppel,NED
18,7/19/1987,37,Carpentras,Mont Ventoux,Mountain time trial,Jean-François Bernard,FRA
19,7/20/1987,185,Valréas,Villard-de-Lans,Stage with mountain(s),Pedro Delgado,ESP
20,7/21/1987,201,Villard-de-Lans,Alpe d'Huez,Stage with mountain(s),Federico Echave,ESP
21,7/22/1987,185,Le Bourg-d'Oisans,La Plagne,Stage with mountain(s),Laurent Fignon,FRA
22,7/23/1987,186,La Plagne,Morzine,Stage with mountain(s),Eduardo Chozas,ESP
23,7/24/1987,225,Saint-Julien-en-Genevois,Dijon,Plain stage,Régis Clère,FRA
24,7/25/1987,38,Dijon,Dijon,Individual time trial,Jean-François Bernard,FRA
25,7/26/1987,192,Créteil,Paris,Plain stage,Jeff Pierce,USA
P,7/4/1986,4.6,Boulogne-Billancourt,Boulogne-Billancourt,Individual time trial,Thierry Marie,FRA
1,7/5/1986,85,Nanterre,Sceaux,Plain stage,Pol Verschuere,BEL
2,7/5/1986,56,Meudon,Saint-Quentin-en-Yvelines,Team time trial,Système U,
3,7/6/1986,214,Levallois-Perret,Liévin,Plain stage,Davis Phinney,USA
4,7/7/1986,243,Liévin,Évreux,Plain stage,Pello Ruiz Cabestany,ESP
5,7/8/1986,124.5,Evreux,Villers-sur-Mer,Plain stage,Johan van der Velde,NED
6,7/9/1986,200,Villers-sur-Mer,Cherbourg,Plain stage,Guido Bontempi,ITA
7,7/10/1986,201,Cherbourg,Saint-Hilaire-du-Harcouët,Plain stage,Ludo Peeters,BEL
8,7/11/1986,204,Saint-Hilaire-du-Harcouët,Nantes,Plain stage,Eddy Planckaert,BEL
9,7/12/1986,61.5,Nantes,Nantes,Individual time trial,Bernard Hinault,FRA
10,7/13/1986,183,Nantes,Futuroscope,Plain stage,Jose-Angel Sarrapio,ESP
11,7/14/1986,258.3,Futuroscope,Bordeaux,Plain stage,Rudy Dhaenens,BEL
12,7/15/1986,217.5,Bayonne,Pau,Stage with mountain(s),Pedro Delgado,ESP
13,7/16/1986,186,Pau,Superbagnères,Stage with mountain(s),Greg LeMond,USA
14,7/17/1986,154,Superbagnères,Blagnac,Plain stage,Niki Rüttimann,SUI
15,7/18/1986,225.5,Carcassonne,Nîmes,Plain stage,Frank Hoste,BEL
16,7/19/1986,246.5,Nîmes,Gap,Plain stage,Jean-François Bernard,FRA
17,7/20/1986,190,Gap,Serre Chevalier,Stage with mountain(s),Eduardo Chozas,ESP
18,7/21/1986,162.5,Briançon,Alpe d'Huez,Stage with mountain(s),Bernard Hinault,FRA
19,7/23/1986,179.5,Villard-de-Lans,Saint-Étienne,Plain stage,Julián Gorospe,ESP
20,7/24/1986,58,Saint-Étienne,Saint-Étienne,Individual time trial,Bernard Hinault,FRA
21,7/25/1986,190,Saint-Étienne,Puy de Dôme,Plain stage,Erich Mächler,SUI
22,7/26/1986,194,Clermont-Ferrand,Nevers,Plain stage,Guido Bontempi,ITA
23,7/27/1986,255,Cosne-sur-Loire,Paris,Plain stage,Guido Bontempi,ITA
P,6/28/1985,6,Plumelec,Plumelec,Individual time trial,Bernard Hinault,FRA
1,6/29/1985,256,Vannes,Lanester,Plain stage,Rudy Matthijs,BEL
2,6/30/1985,242,Lorient,Vitre,Plain stage,Rudy Matthijs,BEL
3,7/1/1985,73,Vitre,Fougères,Team time trial,La Vie Claire,
4,7/2/1985,239,Fougères,Pont-Audemer,Plain stage,Gerrit Solleveld,NED
5,7/3/1985,224,Neufchâtel-en-Bray,Roubaix,Plain stage with cobblestones,Henri Manders,NED
6,7/4/1985,222,Roubaix,Reims,Plain stage,Francis Castaing,FRA
7,7/5/1985,217,Reims,Nancy,Plain stage,Ludwig Wijnants,BEL
8,7/6/1985,75,Sarrebourg,Strasbourg,Individual time trial,Bernard Hinault,FRA
9,7/7/1985,174,Strasbourg,Épinal,Hilly stage,Maarten Ducrot,NED
10,7/8/1985,204,Épinal,Pontarlier,Hilly stage,Jørgen V. Pedersen,DEN
11,7/9/1985,195,Pontarlier,Morzine Avoriaz,Stage with mountain(s),Luis Herrera,COL
12,7/10/1985,269,Morzine Avoriaz,Lans-en-Vercors,Stage with mountain(s),Fabio Parra,COL
13,7/11/1985,32,Villard-de-Lans,Villard-de-Lans,Individual time trial,Eric Vanderaerden,BEL
14,7/13/1985,179,Autrans,Saint-Étienne,Hilly stage,Luis Herrera,COL
15,7/14/1985,238,Saint-Étienne,Aurillac,Plain stage,Eduardo Chozas,ESP
16,7/15/1985,247,Aurillac,Toulouse,Plain stage,Frédéric Vichot,FRA
17,7/16/1985,209,Toulouse,Luz Ardiden,Stage with mountain(s),Pedro Delgado,ESP
18a,7/17/1985,53,Luz-Saint-Sauveur,Aubisque,Stage with mountain(s),Stephen Roche,IRE
18b,7/17/1985,83,Laruns,Pau,Stage with mountain(s),Régis Simon,FRA
19,7/18/1985,203,Pau,Bordeaux,Plain stage,Eric Vanderaerden,BEL
20,7/19/1985,225,Montpon-Ménestérol,Limoges,Plain stage,Johan Lammerts,NED
21,7/20/1985,46,Lac de Vassivière,Lac de Vassivière,Individual time trial,Greg LeMond,USA
22,7/21/1985,196,Orléans,Paris,Plain stage,Rudy Matthijs,BEL
P,6/29/1984,5,Montreuil,Noisy-le-Sec,Individual time trial,Bernard Hinault,FRA
1,6/30/1984,149,Bondy,Saint-Denis,Plain stage,Frank Hoste,BEL
2,7/1/1984,249,Bobigny,Louvroil,Plain stage,Marc Madiot,FRA
3,7/2/1984,51,Louvroil,Valenciennes,Team time trial,Renault–Elf,
4,7/2/1984,83,Valenciennes,Béthune,Plain stage,Ferdi Van Den Haute,BEL
5,7/3/1984,207,Béthune,Cergy-Pontoise,Plain stage,Paulo Ferreira,POR
6,7/4/1984,202,Cergy-Pontoise,Alençon,Plain stage,Frank Hoste,BEL
7,7/5/1984,67,Alençon,Le Mans,Individual time trial,Laurent Fignon,FRA
8,7/6/1984,192,Le Mans,Nantes,Plain stage,Pascal Jules,FRA
9,7/7/1984,338,Nantes,Bordeaux,Plain stage,Jan Raas,NED
10,7/8/1984,198,Langon,Pau,Plain stage,Eric Vanderaerden,BEL
11,7/9/1984,227,Pau,Guzet-Neige,Stage with mountain(s),Robert Millar,GBR
12,7/10/1984,111,Saint-Girons,Blagnac,Plain stage,Pascal Poisson,FRA
13,7/11/1984,220,Blagnac,Rodez,Plain stage,Pierre-Henri Menthéour,FRA
14,7/12/1984,228,Rodez,Domaine du Rouret,Hilly stage,Fons De Wolf,BEL
