Date,Race,Rank,Rider,CQ
16/10/2016,World Championships (Doha) R.R.,DNF,BAGDONAS Gediminas,0
12/10/2016,World Championships (Doha) I.T.T.,38.,BAGDONAS Gediminas,5
9/10/2016,World Championships (Doha) T.T.T.,11.,BAGDONAS Gediminas,10
25/09/2016,Eneco Tour,39.,BAGDONAS Gediminas,5
25/09/2016,"Eneco Tour, Stage 7 : Bornem - Geraardsbergen",36.,BAGDONAS Gediminas,0
24/09/2016,"Eneco Tour, Stage 6 : Riemst - Lanaken",44.,BAGDONAS Gediminas,0
23/09/2016,"Eneco Tour, Stage 5 : Sittard - Sittard T.T.T.",18.,BAGDONAS Gediminas,0
22/09/2016,"Eneco Tour, Stage 4 : Aalter - Sint-Pieters-Leeuw",15.,BAGDONAS Gediminas,0
21/09/2016,"Eneco Tour, Stage 3 : Blankenberge - Ardooie",20.,BAGDONAS Gediminas,0
20/09/2016,"Eneco Tour, Stage 2 : Breda I.T.T.",57.,BAGDONAS Gediminas,0
19/09/2016,"Eneco Tour, Stage 1 : Bolsward - Bolsward",41.,BAGDONAS Gediminas,0
16/09/2016,Kampioenschap van Vlaanderen,26.,BAGDONAS Gediminas,0
11/09/2016,Vuelta a España,134.,BAGDONAS Gediminas,15
11/09/2016,"Vuelta a España, Stage 21 : Las Rozas - Madrid",16.,BAGDONAS Gediminas,0
10/09/2016,"Vuelta a España, Stage 20 : Benidorm - Alto Aitana",100.,BAGDONAS Gediminas,0
9/09/2016,"Vuelta a España, Stage 19 : Xabia - Calp I.T.T.",30.,BAGDONAS Gediminas,0
8/09/2016,"Vuelta a España, Stage 18 : Requena - Gandia",14.,BAGDONAS Gediminas,0
7/09/2016,"Vuelta a España, Stage 17 : Castellon - Llucena/Alto Mas de la Costa",143.,BAGDONAS Gediminas,0
5/09/2016,"Vuelta a España, Stage 16 : Alcañiz - Peñiscola",16.,BAGDONAS Gediminas,0
4/09/2016,"Vuelta a España, Stage 15 : Sabiñanigo - Aramon Formigal",108.,BAGDONAS Gediminas,0
3/09/2016,"Vuelta a España, Stage 14 : Urdax-Dantxarinea - Gourette/Col d'Aubisque",157.,BAGDONAS Gediminas,0
2/09/2016,"Vuelta a España, Stage 13 : Bilbao - Urdax-Dantxarinea",87.,BAGDONAS Gediminas,0
1/09/2016,"Vuelta a España, Stage 12 : Los Corrales de Buelna - Bilbao",126.,BAGDONAS Gediminas,0
31/08/2016,"Vuelta a España, Stage 11 : Colunga - Peña Cabarga",107.,BAGDONAS Gediminas,0
29/08/2016,"Vuelta a España, Stage 10 : Lugones - Lagos de Covadonga",124.,BAGDONAS Gediminas,0
28/08/2016,"Vuelta a España, Stage 9 : Cistierna - Oviedo/Alto del Naranco",159.,BAGDONAS Gediminas,0
27/08/2016,"Vuelta a España, Stage 8 : Villalpando - Alto de La Camperona",155.,BAGDONAS Gediminas,0
26/08/2016,"Vuelta a España, Stage 7 : Maceda - Puebla de Sanabria",6.,BAGDONAS Gediminas,7
25/08/2016,"Vuelta a España, Stage 6 : Monforte de Lemos - Luintra",128.,BAGDONAS Gediminas,0
24/08/2016,"Vuelta a España, Stage 5 : Viveiro - Lugo",11.,BAGDONAS Gediminas,0
23/08/2016,"Vuelta a España, Stage 4 : Betanzos - San Andres de Teixido",94.,BAGDONAS Gediminas,0
22/08/2016,"Vuelta a España, Stage 3 : Marin - Mirador de Ezaro",136.,BAGDONAS Gediminas,0
21/08/2016,"Vuelta a España, Stage 2 : Ourense - Baiona",32.,BAGDONAS Gediminas,0
20/08/2016,"Vuelta a España, Stage 1 : Ourense - Castrelo de Miño T.T.T.",-,BAGDONAS Gediminas,0
6/08/2016,Vuelta a Burgos,109.,BAGDONAS Gediminas,0
27/07/2016,Tour de Wallonie,34.,BAGDONAS Gediminas,5
26/07/2016,"Tour de Wallonie, Stage 4 : Aubel - Herstal",2.,BAGDONAS Gediminas,15
22/05/2016,GP de la Somme,6.,BAGDONAS Gediminas,28
15/05/2016,Tour de Picardie,59.,BAGDONAS Gediminas,0
8/05/2016,4 Jours de Dunkerque / Tour du Nord-Pas-de-Calais,54.,BAGDONAS Gediminas,0
8/05/2016,"4 Jours de Dunkerque / Tour du Nord-Pas-de-Calais, Stage 5 : Hondschoote - Dunkerque",8.,BAGDONAS Gediminas,0
6/05/2016,"4 Jours de Dunkerque / Tour du Nord-Pas-de-Calais, Stage 3 : Béthune - Saint-Pol-sur-Ternoise",13.,BAGDONAS Gediminas,0
16/04/2016,Tour du Finistère,56.,BAGDONAS Gediminas,0
14/04/2016,GP de Denain - Porte du Hainaut,20.,BAGDONAS Gediminas,6
10/04/2016,Paris - Roubaix,92.,BAGDONAS Gediminas,5
6/04/2016,Scheldeprijs,19.,BAGDONAS Gediminas,7
3/04/2016,Ronde van Vlaanderen,DNF,BAGDONAS Gediminas,0
27/03/2016,Gent - Wevelgem,65.,BAGDONAS Gediminas,5
25/03/2016,E3 Harelbeke,DNF,BAGDONAS Gediminas,0
19/03/2016,Milano - Sanremo,155.,BAGDONAS Gediminas,5
6/03/2016,Driedaagse van West-Vlaanderen,27.,BAGDONAS Gediminas,3
6/03/2016,"Driedaagse van West-Vlaanderen, Stage 2 : Nieuwpoort - Ichtegem",12.,BAGDONAS Gediminas,0
5/03/2016,"Driedaagse van West-Vlaanderen, Stage 1 : Brugge - Harelbeke",5.,BAGDONAS Gediminas,0
2/03/2016,Le Samyn,15.,BAGDONAS Gediminas,6
28/02/2016,Kuurne - Brussel - Kuurne,29.,BAGDONAS Gediminas,5
27/02/2016,Omloop Het Nieuwsblad,132.,BAGDONAS Gediminas,0
12/02/2016,Tour of Qatar,128.,BAGDONAS Gediminas,0
