Date,Race,Rank,Rider,CQ
12/02/2016,"Tour of Qatar, Stage 5 : Sealine Beach Resort - Doha Corniche",20.,BAGDONAS Gediminas,0
24/01/2016,Tour Down Under,105.,BAGDONAS Gediminas,5
24/01/2016,"Tour Down Under, Stage 6 : Adelaide - Adelaide",20.,BAGDONAS Gediminas,0
23/01/2016,"Tour Down Under, Stage 5 : McLaren-Vale - Willunga Hill",59.,BAGDONAS Gediminas,0
22/01/2016,"Tour Down Under, Stage 4 : Norwood - Victor Harbour",84.,BAGDONAS Gediminas,0
21/01/2016,"Tour Down Under, Stage 3 : Glenelg - Campbelltown",113.,BAGDONAS Gediminas,0
20/01/2016,"Tour Down Under, Stage 2 : Unley - Stirling",135.,BAGDONAS Gediminas,0
19/01/2016,"Tour Down Under, Stage 1 : Prospect - Lyndoch",22.,BAGDONAS Gediminas,0
1/10/2016,Il Lombardia,21.,BAKELANTS Jan,22
29/09/2016,Gran Piemonte,14.,BAKELANTS Jan,12
24/09/2016,Giro dell'Emilia,5.,BAKELANTS Jan,54
22/09/2016,GP Citta di Peccioli - Coppa Sabatini,6.,BAKELANTS Jan,28
18/09/2016,European Championships (Plumelec) R.R.,37.,BAKELANTS Jan,0
14/09/2016,GP de Wallonie,11.,BAKELANTS Jan,10
11/09/2016,Vuelta a España,17.,BAKELANTS Jan,78
11/09/2016,"Vuelta a España, Stage 21 : Las Rozas - Madrid",18.,BAKELANTS Jan,0
10/09/2016,"Vuelta a España, Stage 20 : Benidorm - Alto Aitana",40.,BAKELANTS Jan,0
9/09/2016,"Vuelta a España, Stage 19 : Xabia - Calp I.T.T.",40.,BAKELANTS Jan,0
8/09/2016,"Vuelta a España, Stage 18 : Requena - Gandia",63.,BAKELANTS Jan,0
7/09/2016,"Vuelta a España, Stage 17 : Castellon - Llucena/Alto Mas de la Costa",45.,BAKELANTS Jan,0
5/09/2016,"Vuelta a España, Stage 16 : Alcañiz - Peñiscola",41.,BAKELANTS Jan,0
4/09/2016,"Vuelta a España, Stage 15 : Sabiñanigo - Aramon Formigal",20.,BAKELANTS Jan,0
3/09/2016,"Vuelta a España, Stage 14 : Urdax-Dantxarinea - Gourette/Col d'Aubisque",7.,BAKELANTS Jan,5
2/09/2016,"Vuelta a España, Stage 13 : Bilbao - Urdax-Dantxarinea",101.,BAKELANTS Jan,0
1/09/2016,"Vuelta a España, Stage 12 : Los Corrales de Buelna - Bilbao",7.,BAKELANTS Jan,5
31/08/2016,"Vuelta a España, Stage 11 : Colunga - Peña Cabarga",41.,BAKELANTS Jan,0
29/08/2016,"Vuelta a España, Stage 10 : Lugones - Lagos de Covadonga",31.,BAKELANTS Jan,0
28/08/2016,"Vuelta a España, Stage 9 : Cistierna - Oviedo/Alto del Naranco",11.,BAKELANTS Jan,0
27/08/2016,"Vuelta a España, Stage 8 : Villalpando - Alto de La Camperona",66.,BAKELANTS Jan,0
26/08/2016,"Vuelta a España, Stage 7 : Maceda - Puebla de Sanabria",14.,BAKELANTS Jan,0
25/08/2016,"Vuelta a España, Stage 6 : Monforte de Lemos - Luintra",54.,BAKELANTS Jan,0
24/08/2016,"Vuelta a España, Stage 5 : Viveiro - Lugo",175.,BAKELANTS Jan,0
23/08/2016,"Vuelta a España, Stage 4 : Betanzos - San Andres de Teixido",73.,BAKELANTS Jan,0
22/08/2016,"Vuelta a España, Stage 3 : Marin - Mirador de Ezaro",27.,BAKELANTS Jan,0
21/08/2016,"Vuelta a España, Stage 2 : Ourense - Baiona",66.,BAKELANTS Jan,0
20/08/2016,"Vuelta a España, Stage 1 : Ourense - Castrelo de Miño T.T.T.",19.,BAKELANTS Jan,0
24/07/2016,Tour de France,50.,BAKELANTS Jan,21
24/07/2016,"Tour de France, Stage 21 : Chantilly - Paris",70.,BAKELANTS Jan,0
23/07/2016,"Tour de France, Stage 20 : Megève - Morzine",47.,BAKELANTS Jan,0
22/07/2016,"Tour de France, Stage 19 : Albertville - Saint-Gervais-Mont-Blanc",97.,BAKELANTS Jan,0
21/07/2016,"Tour de France, Stage 18 : Sallanches - Megève I.T.T.",89.,BAKELANTS Jan,0
20/07/2016,"Tour de France, Stage 17 : Bern (Sui) - Finhaut-Emosson (Sui)",95.,BAKELANTS Jan,0
18/07/2016,"Tour de France, Stage 16 : Moirans-en-Montagne - Bern (Sui)",68.,BAKELANTS Jan,0
17/07/2016,"Tour de France, Stage 15 : Bourg-en-Bresse - Culoz",43.,BAKELANTS Jan,0
16/07/2016,"Tour de France, Stage 14 : Montélimar - Villars-les-Dombes",93.,BAKELANTS Jan,0
15/07/2016,"Tour de France, Stage 13 : Bourg-Saint-Andéol - La Caverne du Pont-d'Arc I.T.T.",89.,BAKELANTS Jan,0
14/07/2016,"Tour de France, Stage 12 : Montpellier - Mont Ventoux/Chalet Reynard",53.,BAKELANTS Jan,0
13/07/2016,"Tour de France, Stage 11 : Carcassonne - Montpellier",44.,BAKELANTS Jan,0
12/07/2016,"Tour de France, Stage 10 : Escaldes-Engordany (And) - Revel",96.,BAKELANTS Jan,0
10/07/2016,"Tour de France, Stage 9 : Vielha (Esp) - Andorra/Arcalis (And)",40.,BAKELANTS Jan,0
9/07/2016,"Tour de France, Stage 8 : Pau - Bagnères-de-Luchon",120.,BAKELANTS Jan,0
8/07/2016,"Tour de France, Stage 7 : L'Isle-Jourdain - Lac de Payolle",54.,BAKELANTS Jan,0
7/07/2016,"Tour de France, Stage 6 : Arpajon-sur-Cère - Montauban",97.,BAKELANTS Jan,0
6/07/2016,"Tour de France, Stage 5 : Limoges - Le Lioran",47.,BAKELANTS Jan,0
5/07/2016,"Tour de France, Stage 4 : Saumur - Limoges",49.,BAKELANTS Jan,0
4/07/2016,"Tour de France, Stage 3 : Granville - Angers",78.,BAKELANTS Jan,0
3/07/2016,"Tour de France, Stage 2 : Saint-Lô - Cherbourg-en-Cotentin",53.,BAKELANTS Jan,0
2/07/2016,"Tour de France, Stage 1 : Mont-Saint-Michel - Sainte-Marie-du-Mont",176.,BAKELANTS Jan,0
26/06/2016,National Championships Belgium (Lacs de l'Eau d'Heure) R.R.,5.,BAKELANTS Jan,54
12/06/2016,Critérium du Dauphiné,17.,BAKELANTS Jan,30
12/06/2016,"Critérium du Dauphiné, Stage 7 : Le Pont-de-Claix - Superdévoluy",20.,BAKELANTS Jan,0
11/06/2016,"Critérium du Dauphiné, Stage 6 : La Rochette - Méribel-les-Allues",19.,BAKELANTS Jan,0
10/06/2016,"Critérium du Dauphiné, Stage 5 : La Ravoire - Vaujany",25.,BAKELANTS Jan,0
9/06/2016,"Critérium du Dauphiné, Stage 4 : Tain-l'Hermitage - Belley",15.,BAKELANTS Jan,0
8/06/2016,"Critérium du Dauphiné, Stage 3 : Boën-sur-Lignon - Tournon-sur-Rhône",67.,BAKELANTS Jan,0
7/06/2016,"Critérium du Dauphiné, Stage 2 : Crêches-sur-Saône - Jeansagnière/Chalmazel",25.,BAKELANTS Jan,0
6/06/2016,"Critérium du Dauphiné, Stage 1 : Cluses - Saint-Vulbas",57.,BAKELANTS Jan,0
5/06/2016,"Critérium du Dauphiné, Prologue : Les Gets - Le Mont Chéry I.T.T.",44.,BAKELANTS Jan,0
1/05/2016,Tour de Romandie,43.,BAKELANTS Jan,5
1/05/2016,"Tour de Romandie, Stage 5 : Ollon - Genève",21.,BAKELANTS Jan,0
30/04/2016,"Tour de Romandie, Stage 4 : Conthey - Villars-sur-Ollon",63.,BAKELANTS Jan,0
29/04/2016,"Tour de Romandie, Stage 3 : Sion - Sion I.T.T.",58.,BAKELANTS Jan,0
28/04/2016,"Tour de Romandie, Stage 2 : Moudon - Morgins",54.,BAKELANTS Jan,0
27/04/2016,"Tour de Romandie, Stage 1 : Mathod - Moudon",101.,BAKELANTS Jan,0
26/04/2016,"Tour de Romandie, Prologue : La Chaux-de-Fonds I.T.T.",16.,BAKELANTS Jan,0
24/04/2016,Liège - Bastogne - Liège,29.,BAKELANTS Jan,7
20/04/2016,Flèche Wallonne,22.,BAKELANTS Jan,14
17/04/2016,Amstel Gold Race,13.,BAKELANTS Jan,30
8/04/2016,"Vuelta al Pais Vasco, Stage 5 : Orio - Eibar (Arrate)",DNF,BAKELANTS Jan,0
7/04/2016,"Vuelta al Pais Vasco, Stage 4 : Lesaka - Orio",106.,BAKELANTS Jan,0
6/04/2016,"Vuelta al Pais Vasco, Stage 3 : Vitoria-Gasteiz - Lesaka",75.,BAKELANTS Jan,0
5/04/2016,"Vuelta al Pais Vasco, Stage 2 : Markina-Xemein - Baranbio (Garrastatxu)",36.,BAKELANTS Jan,0
4/04/2016,"Vuelta al Pais Vasco, Stage 1 : Etxebarria - Markina-Xemein",6.,BAKELANTS Jan,3
19/03/2016,Milano - Sanremo,16.,BAKELANTS Jan,32
15/03/2016,Tirreno - Adriatico,21.,BAKELANTS Jan,18
15/03/2016,"Tirreno - Adriatico, Stage 7 : San Benedetto del Tronto I.T.T.",79.,BAKELANTS Jan,0
14/03/2016,"Tirreno - Adriatico, Stage 6 : Castelraimondo - Cepagatti",26.,BAKELANTS Jan,0
12/03/2016,"Tirreno - Adriatico, Stage 4 : Montalto di Castro - Foligno",5.,BAKELANTS Jan,5
11/03/2016,"Tirreno - Adriatico, Stage 3 : Castelnuovo Val di Cecina - Montalto di Castro",35.,BAKELANTS Jan,0
10/03/2016,"Tirreno - Adriatico, Stage 2 : Camaiore - Pomarance",34.,BAKELANTS Jan,0
9/03/2016,"Tirreno - Adriatico, Stage 1 : Lido di Camaiore T.T.T.",13.,BAKELANTS Jan,0
5/03/2016,Strade Bianche - Eroica,29.,BAKELANTS Jan,5
28/02/2016,Drôme Classic,2.,BAKELANTS Jan,48
27/02/2016,Classic Sud Ardèche - Souvenir Francis Delpech,9.,BAKELANTS Jan,16
25/02/2016,Tour La Provence,8.,BAKELANTS Jan,35
25/02/2016,"Tour La Provence, Stage 3 : La Ciotat - Marseille",8.,BAKELANTS Jan,0
24/02/2016,"Tour La Provence, Stage 2 : Miramas - Istres",4.,BAKELANTS Jan,3
23/02/2016,"Tour La Provence, Stage 1 : Aubagne - Cassis",14.,BAKELANTS Jan,0
14/02/2016,La Méditerranéenne,3.,BAKELANTS Jan,66
14/02/2016,"La Méditerranéenne, Stage 4 : Bordighera (Ita) - Bordighera (Ita)",1.,BAKELANTS Jan,20
13/02/2016,"La Méditerranéenne, Stage 3 : Cadolive - Pégomas",3.,BAKELANTS Jan,5
12/02/2016,"La Méditerranéenne, Stage 2 : Banyuls-sur-Mer - Port Vendres",3.,BAKELANTS Jan,5
11/02/2016,"La Méditerranéenne, Stage 1 : Banyoles (Esp) T.T.T.",7.,BAKELANTS Jan,0
1/10/2016,Il Lombardia,4.0,BARDET Romain,125
28/09/2016,Milano - Torino,9.0,BARDET Romain,30
24/09/2016,Giro dell'Emilia,2.0,BARDET Romain,84
22/09/2016,GP Citta di Peccioli - Coppa Sabatini,44.0,BARDET Romain,0
11/09/2016,GP de Montréal,20.0,BARDET Romain,16
9/09/2016,GP de Québec,22.0,BARDET Romain,14
4/09/2016,GP de Fourmies,95.0,BARDET Romain,0
6/08/2016,Olympic Games (Rio de Janeiro) - R.R.,24.0,BARDET Romain,16
24/07/2016,Tour de France,2.0,BARDET Romain,450
24/07/2016,"Tour de France, Stage 21 : Chantilly - Paris",31.0,BARDET Romain,0
23/07/2016,"Tour de France, Stage 20 : Megève - Morzine",10.0,BARDET Romain,1
22/07/2016,"Tour de France, Stage 19 : Albertville - Saint-Gervais-Mont-Blanc",1.0,BARDET Romain,80
21/07/2016,"Tour de France, Stage 18 : Sallanches - Megève I.T.T.",5.0,BARDET Romain,15
20/07/2016,"Tour de France, Stage 17 : Bern (Sui) - Finhaut-Emosson (Sui)",13.0,BARDET Romain,0
18/07/2016,"Tour de France, Stage 16 : Moirans-en-Montagne - Bern (Sui)",13.0,BARDET Romain,0
17/07/2016,"Tour de France, Stage 15 : Bourg-en-Bresse - Culoz",17.0,BARDET Romain,0
16/07/2016,"Tour de France, Stage 14 : Montélimar - Villars-les-Dombes",73.0,BARDET Romain,0
15/07/2016,"Tour de France, Stage 13 : Bourg-Saint-Andéol - La Caverne du Pont-d'Arc I.T.T.",29.0,BARDET Romain,0
14/07/2016,"Tour de France, Stage 12 : Montpellier - Mont Ventoux/Chalet Reynard",14.0,BARDET Romain,0
13/07/2016,"Tour de France, Stage 11 : Carcassonne - Montpellier",29.0,BARDET Romain,0
12/07/2016,"Tour de France, Stage 10 : Escaldes-Engordany (And) - Revel",61.0,BARDET Romain,0
10/07/2016,"Tour de France, Stage 9 : Vielha (Esp) - Andorra/Arcalis (And)",17.0,BARDET Romain,0
9/07/2016,"Tour de France, Stage 8 : Pau - Bagnères-de-Luchon",4.0,BARDET Romain,25
8/07/2016,"Tour de France, Stage 7 : L'Isle-Jourdain - Lac de Payolle",16.0,BARDET Romain,0
7/07/2016,"Tour de France, Stage 6 : Arpajon-sur-Cère - Montauban",55.0,BARDET Romain,0
6/07/2016,"Tour de France, Stage 5 : Limoges - Le Lioran",13.0,BARDET Romain,0
5/07/2016,"Tour de France, Stage 4 : Saumur - Limoges",34.0,BARDET Romain,0
4/07/2016,"Tour de France, Stage 3 : Granville - Angers",70.0,BARDET Romain,0
3/07/2016,"Tour de France, Stage 2 : Saint-Lô - Cherbourg-en-Cotentin",24.0,BARDET Romain,0
2/07/2016,"Tour de France, Stage 1 : Mont-Saint-Michel - Sainte-Marie-du-Mont",56.0,BARDET Romain,0
26/06/2016,National Championships France (Vesoul) R.R.,10.0,BARDET Romain,26
12/06/2016,Critérium du Dauphiné,2.0,BARDET Romain,195
12/06/2016,"Critérium du Dauphiné, Stage 7 : Le Pont-de-Claix - Superdévoluy",3.0,BARDET Romain,18
11/06/2016,"Critérium du Dauphiné, Stage 6 : La Rochette - Méribel-les-Allues",2.0,BARDET Romain,28
10/06/2016,"Critérium du Dauphiné, Stage 5 : La Ravoire - Vaujany",6.0,BARDET Romain,3
9/06/2016,"Critérium du Dauphiné, Stage 4 : Tain-l'Hermitage - Belley",11.0,BARDET Romain,0
8/06/2016,"Critérium du Dauphiné, Stage 3 : Boën-sur-Lignon - Tournon-sur-Rhône",24.0,BARDET Romain,0
7/06/2016,"Critérium du Dauphiné, Stage 2 : Crêches-sur-Saône - Jeansagnière/Chalmazel",51.0,BARDET Romain,0
6/06/2016,"Critérium du Dauphiné, Stage 1 : Cluses - Saint-Vulbas",24.0,BARDET Romain,0
5/06/2016,"Critérium du Dauphiné, Prologue : Les Gets - Le Mont Chéry I.T.T.",7.0,BARDET Romain,2
1/05/2016,Tour de Romandie,27.0,BARDET Romain,9
1/05/2016,"Tour de Romandie, Stage 5 : Ollon - Genève",98.0,BARDET Romain,0
30/04/2016,"Tour de Romandie, Stage 4 : Conthey - Villars-sur-Ollon",15.0,BARDET Romain,0
29/04/2016,"Tour de Romandie, Stage 3 : Sion - Sion I.T.T.",99.0,BARDET Romain,0
28/04/2016,"Tour de Romandie, Stage 2 : Moudon - Morgins",75.0,BARDET Romain,0
27/04/2016,"Tour de Romandie, Stage 1 : Mathod - Moudon",24.0,BARDET Romain,0
26/04/2016,"Tour de Romandie, Prologue : La Chaux-de-Fonds I.T.T.",28.0,BARDET Romain,0
24/04/2016,Liège - Bastogne - Liège,13.0,BARDET Romain,42
22/04/2016,Giro del Trentino,6.0,BARDET Romain,68
22/04/2016,"Giro del Trentino, Stage 4 : Male - Cles",8.0,BARDET Romain,0
21/04/2016,"Giro del Trentino, Stage 3 : Sillian (AUT) - Mezzolombardo",3.0,BARDET Romain,10
20/04/2016,"Giro del Trentino, Stage 2 : Arco - Anras (AUT)",7.0,BARDET Romain,0
19/04/2016,"Giro del Trentino, Stage 1 : Riva del Garda - Torbole T.T.T.",3.0,BARDET Romain,2
27/03/2016,Volta a Catalunya,6.0,BARDET Romain,95
27/03/2016,"Volta a Catalunya, Stage 7 : Barcelona - Barcelona",8.0,BARDET Romain,1
26/03/2016,"Volta a Catalunya, Stage 6 : Sant Joan Despi - Vilanova i la Geltru",18.0,BARDET Romain,0
25/03/2016,"Volta a Catalunya, Stage 5 : Rialp - Valls",16.0,BARDET Romain,0
24/03/2016,"Volta a Catalunya, Stage 4 : Baga - Port Aine",9.0,BARDET Romain,0
23/03/2016,"Volta a Catalunya, Stage 3 : Girona - Alp/La Molina",3.0,BARDET Romain,14
22/03/2016,"Volta a Catalunya, Stage 2 : Mataro - Olot",22.0,BARDET Romain,0
21/03/2016,"Volta a Catalunya, Stage 1 : Calella - Calella",21.0,BARDET Romain,0
13/03/2016,Paris - Nice,8.0,BARDET Romain,90
13/03/2016,"Paris - Nice, Stage 7 : Nice - Nice",8.0,BARDET Romain,1
12/03/2016,"Paris - Nice, Stage 6 : Nice - La Madone d'Utelle",7.0,BARDET Romain,2
11/03/2016,"Paris - Nice, Stage 5 : Saint-Paul-Trois-Châteaux - Salon-de-Provence",16.0,BARDET Romain,0
10/03/2016,"Paris - Nice, Stage 4 : Juliénas - Romans-sur-Isère",32.0,BARDET Romain,0
8/03/2016,"Paris - Nice, Stage 2 : Contres - Commentry",37.0,BARDET Romain,0
7/03/2016,"Paris - Nice, Stage 1 : Condé-sur-Vesgre - Vendôme",19.0,BARDET Romain,0
6/03/2016,"Paris - Nice, Prologue : Conflans-Sainte-Honorine I.T.T.",53.0,BARDET Romain,0
28/02/2016,Drôme Classic,8.0,BARDET Romain,20
27/02/2016,Classic Sud Ardèche - Souvenir Francis Delpech,5.0,BARDET Romain,32
21/02/2016,Tour of Oman,2.0,BARDET Romain,120
20/02/2016,"Tour of Oman, Stage 5 : As Sifah - Muscat",14.0,BARDET Romain,0
19/02/2016,"Tour of Oman, Stage 4 : Rusayl - Jabal Al Akhdhar (Green Mountain)",2.0,BARDET Romain,15
17/02/2016,"Tour of Oman, Stage 2 : Al Seeb - Quriyat",8.0,BARDET Romain,0
16/02/2016,"Tour of Oman, Stage 1 : Muscat Airport - Al Bustan",3.0,BARDET Romain,10
31/01/2016,GP La Marseillaise,28.0,BARDET Romain,0
9/10/2016,Paris - Tours,98.,BERARD Julien,0
6/10/2016,Paris - Bourges,101.,BERARD Julien,0
2/10/2016,Tour de Vendée,42.,BERARD Julien,0
25/09/2016,"Eneco Tour, Stage 7 : Bornem - Geraardsbergen",DNF,BERARD Julien,0
24/09/2016,"Eneco Tour, Stage 6 : Riemst - Lanaken",96.,BERARD Julien,0
23/09/2016,"Eneco Tour, Stage 5 : Sittard - Sittard T.T.T.",-,BERARD Julien,0
22/09/2016,"Eneco Tour, Stage 4 : Aalter - Sint-Pieters-Leeuw",92.,BERARD Julien,0
21/09/2016,"Eneco Tour, Stage 3 : Blankenberge - Ardooie",94.,BERARD Julien,0
20/09/2016,"Eneco Tour, Stage 2 : Breda I.T.T.",162.,BERARD Julien,0
19/09/2016,"Eneco Tour, Stage 1 : Bolsward - Bolsward",99.,BERARD Julien,0
11/09/2016,GP de Montréal,106.,BERARD Julien,5
9/09/2016,GP de Québec,80.,BERARD Julien,5
26/08/2016,Tour du Poitou Charentes,52.,BERARD Julien,0
21/08/2016,EuroEyes Cyclassics Hamburg,111.,BERARD Julien,5
19/08/2016,Tour du Limousin,42.,BERARD Julien,0
31/07/2016,Polynormande,68.,BERARD Julien,0
18/07/2016,Tour de Pologne,70.,BERARD Julien,5
18/07/2016,"Tour de Pologne, Stage 7 : Krakow - Krakow I.T.T.",82.,BERARD Julien,0
16/07/2016,"Tour de Pologne, Stage 5 : Wieliczka - Zakopane",82.,BERARD Julien,0
15/07/2016,"Tour de Pologne, Stage 4 : Nowy Sacz - Rzeszow",73.,BERARD Julien,0
14/07/2016,"Tour de Pologne, Stage 3 : Zawiercie - Nowy Sacz",109.,BERARD Julien,0
13/07/2016,"Tour de Pologne, Stage 2 : Tarnowskie Gory - Katowice",89.,BERARD Julien,0
12/07/2016,"Tour de Pologne, Stage 1 : Radzymin - Warszawa",77.,BERARD Julien,0
19/06/2016,Route du Sud,70.,BERARD Julien,0
9/06/2016,GP Kanton Aargau - Gippingen,42.,BERARD Julien,0
8/05/2016,4 Jours de Dunkerque / Tour du Nord-Pas-de-Calais,38.,BERARD Julien,5
24/04/2016,La Roue Tourangelle,51.,BERARD Julien,0
16/04/2016,Tour du Finistère,83.,BERARD Julien,0
14/04/2016,GP de Denain - Porte du Hainaut,136.,BERARD Julien,0
8/04/2016,Circuit de la Sarthe - Pays de la Loire,42.,BERARD Julien,0
3/04/2016,Paris - Camembert,15.,BERARD Julien,6
1/04/2016,Route Adélie de Vitré,37.,BERARD Julien,0
27/03/2016,Critérium International,36.,BERARD Julien,5
20/03/2016,GP Cholet - Pays De Loire,64.,BERARD Julien,0
19/03/2016,Classic Loire Atlantique,41.,BERARD Julien,0
6/03/2016,"Driedaagse van West-Vlaanderen, Stage 2 : Nieuwpoort - Ichtegem",DNF,BERARD Julien,0
25/02/2016,Tour La Provence,40.,BERARD Julien,0
13/02/2016,"La Méditerranéenne, Stage 3 : Cadolive - Pégomas",DNF,BERARD Julien,0
31/01/2016,GP La Marseillaise,70.,BERARD Julien,0
9/10/2016,Paris - Tours,111.,BIDARD François,0
6/10/2016,Paris - Bourges,21.,BIDARD François,0
2/10/2016,Tour de Vendée,40.,BIDARD François,0
18/09/2016,GP d'Isbergues - Pas de Calais,51.,BIDARD François,0
11/09/2016,Vuelta a España,94.,BIDARD François,15
11/09/2016,"Vuelta a España, Stage 21 : Las Rozas - Madrid",71.,BIDARD François,0
10/09/2016,"Vuelta a España, Stage 20 : Benidorm - Alto Aitana",133.,BIDARD François,0
9/09/2016,"Vuelta a España, Stage 19 : Xabia - Calp I.T.T.",129.,BIDARD François,0
8/09/2016,"Vuelta a España, Stage 18 : Requena - Gandia",35.,BIDARD François,0
7/09/2016,"Vuelta a España, Stage 17 : Castellon - Llucena/Alto Mas de la Costa",96.,BIDARD François,0
5/09/2016,"Vuelta a España, Stage 16 : Alcañiz - Peñiscola",28.,BIDARD François,0
4/09/2016,"Vuelta a España, Stage 15 : Sabiñanigo - Aramon Formigal",124.,BIDARD François,0
