Rider,rank_start,point_start,win,podium,top_ten,points,race_days,win_dauphine,podium_dauphine,top_ten_dauphine,points_dauphine
ROWE Luke,178.0,349.0,0,0,4,281,39,0.0,0.0,0.0,5.0
STANNARD Ian,159.0,383.0,0,2,2,282,33,0.0,0.0,0.0,5.0
THOMAS Geraint,27.0,1065.0,2,5,12,528,45,0.0,0.0,2.0,33.0
BODNAR Maciej,211.0,318.0,2,2,5,82,28,0.0,0.0,0.0,0.0
GATTO Oscar,256.0,272.0,1,1,5,154,35,0.0,0.0,0.0,0.0
KISERLOVSKI Robert,329.0,212.0,0,0,0,35,33,0.0,0.0,0.0,10.0
KREUZIGER Roman,85.0,552.0,1,1,6,376,30,0.0,0.0,0.0,23.0
SAGAN Peter,3.0,2231.0,6,16,26,1470,40,2.0,3.0,3.0,135.0
VALGREN ANDERSEN Michael,480.0,143.0,0,3,3,249,37,0.0,0.0,0.0,5.0
IRIZAR ARANBURU Markel,712.0,82.0,0,0,0,25,28,0.0,0.0,0.0,5.0
MOLLEMA Bauke,22.0,1128.0,0,2,9,354,37,0.0,0.0,2.0,4.0
RAST Gregory,595.0,108.0,0,0,0,30,33,0.0,0.0,0.0,5.0
SCHLECK Fränk,219.0,310.0,0,1,1,80,32,0.0,0.0,0.0,23.0
STETINA Peter,941.0,50.0,0,1,1,72,46,0.0,0.0,0.0,16.0
STUYVEN Jasper,444.0,160.0,1,2,11,310,36,0.0,0.0,2.0,13.0
ZUBELDIA AGIRRE Haimar,319.0,216.0,0,0,0,24,34,0.0,0.0,0.0,5.0
BAKELANTS Jan,70.0,636.0,0,1,3,136,33,0.0,0.0,1.0,26.0
BARDET Romain,8.0,1667.0,0,1,13,481,37,0.0,0.0,4.0,120.0
DOMONT Axel,566.0,117.0,0,1,1,69,40,0.0,1.0,1.0,33.0
FRANK Mathias,215.0,297.0,0,0,6,274,42,0.0,0.0,3.0,113.0
GAUTIER Cyril,319.0,222.0,0,1,3,142,39,0.0,0.0,0.0,0.0
LATOUR Pierre,67.0,645.0,1,3,10,339,47,0.0,0.0,1.0,48.0
NAESEN Oliver,68.0,643.0,1,4,17,688,48,0.0,0.0,2.0,8.0
VUILLERMOZ Alexis,124.0,437.0,1,1,1,161,35,0.0,0.0,0.0,18.0
ARU Fabio,50.0,777.0,1,3,12,461,26,0.0,0.0,4.0,135.0
GRUZDEV Dmitriy,421.0,166.0,2,2,3,76,31,0.0,0.0,0.0,5.0
KOZHATAYEV Bakhtiyar,1126.0,38.0,1,1,3,45,31,0.0,0.0,0.0,5.0
LUTSENKO Alexey,81.0,595.0,1,2,2,159,39,0.0,0.0,0.0,5.0
VALGREN ANDERSEN Michael,99.0,541.0,0,0,2,176,44,0.0,0.0,1.0,5.0
ARASHIRO Yukiya,452.0,157.0,0,1,2,41,43,0.0,0.0,0.0,5.0
BOLE Grega,163.0,362.0,0,1,1,66,32,0.0,0.0,0.0,5.0
BOZIC Borut,755.0,77.0,0,0,1,36,28,0.0,0.0,0.0,0.0
BRAJKOVIC Janez,511.0,134.0,0,0,0,37,43,0.0,0.0,0.0,12.0
COLBRELLI Sonny,17.0,1239.0,2,9,20,617,43,0.0,0.0,2.0,13.0
GRMAY Tsgabu Gebremaryam,616.0,106.0,1,1,3,161,57,0.0,0.0,0.0,12.0
MORENO BAZAN Javier,422.0,166.0,0,0,2,64,32,0.0,0.0,0.0,5.0
CARUSO Damiano,157.0,368.0,1,4,17,529,51,0.0,3.0,6.0,275.0
DE MARCHI Alessandro,355.0,198.0,1,1,2,52,42,0.0,0.0,0.0,5.0
KÜNG Stefan,315.0,225.0,4,7,8,276,40,0.0,2.0,2.0,72.0
MOINARD Amaël,425.0,165.0,0,0,0,47,38,0.0,0.0,0.0,5.0
ROCHE Nicolas,90.0,561.0,1,2,3,93,41,0.0,0.0,0.0,5.0
SCHÄR Michael,293.0,237.0,1,1,1,64,35,0.0,0.0,0.0,6.0
VAN AVERMAET Greg,4.0,2279.0,9,14,20,1667,47,0.0,0.0,0.0,5.0
WYSS Danilo,438.0,160.0,0,0,1,33,43,0.0,0.0,0.0,5.0
BODNAR Maciej,176.0,344.0,0,1,3,63,35,0.0,0.0,0.0,5.0
BUCHMANN Emanuel,207.0,306.0,0,2,13,416,38,0.0,0.0,4.0,115.0
BURGHARDT Marcus,629.0,102.0,1,1,2,186,35,0.0,0.0,1.0,8.0
MCCARTHY Jay,227.0,290.0,0,3,7,321,46,0.0,0.0,0.0,5.0
BETTIOL Alberto,88.0,568.0,0,0,2,107,37,0.0,0.0,1.0,5.0
BEVIN Patrick,349.0,203.0,0,2,12,145,35,0.0,1.0,4.0,46.0
BROWN Nathan,812.0,70.0,0,0,1,48,39,0.0,0.0,0.0,5.0
CLARKE Simon,379.0,183.0,0,1,3,112,40,0.0,0.0,0.0,14.0
PHINNEY Taylor,303.0,232.0,0,0,2,6,21,0.0,0.0,0.0,5.0
TALANSKY Andrew,69.0,641.0,1,3,5,179,26,0.0,0.0,1.0,17.0
VAN BAARLE Dylan,188.0,335.0,0,0,4,307,31,0.0,0.0,0.0,5.0
CIMOLAI Davide,614.0,106.0,1,2,4,104,27,0.0,0.0,0.0,0.0
LE GAC Olivier,1097.0,40.0,0,0,1,67,35,0.0,0.0,0.0,5.0
BENOOT Tiesj,84.0,588.0,0,3,14,557,38,0.0,0.0,0.0,54.0
DE GENDT Thomas,142.0,396.0,1,1,3,155,49,1.0,1.0,2.0,100.0
GALLOPIN Tony,39.0,880.0,1,4,14,436,42,0.0,0.0,0.0,5.0
ROELANDTS Jürgen,96.0,550.0,0,1,6,198,35,0.0,0.0,0.0,0.0
BETANCUR GOMEZ Carlos Alberto,599.0,108.0,1,1,2,77,30,0.0,0.0,0.0,30.0
CASTROVIEJO NICOLAS Jonathan,91.0,555.0,2,5,14,431,40,0.0,0.0,1.0,3.0
ERVITI OLLO Imanol,246.0,275.0,0,1,2,82,39,0.0,0.0,0.0,5.0
HERRADA LOPEZ Jesus,107.0,487.0,1,4,6,399,45,0.0,1.0,1.0,23.0
SÜTTERLIN Jasha,366.0,191.0,1,2,7,119,41,0.0,0.0,1.0,8.0
ALBASINI Michael,125.0,435.0,2,5,10,550,42,0.0,1.0,3.0,48.0
CHAVES RUBIO Jhoan Esteban,13.0,1314.0,0,3,5,276,19,0.0,0.0,0.0,10.0
HAYMAN Mathew,151.0,377.0,0,1,2,105,31,0.0,0.0,0.0,0.0
HOWSON Damien,411.0,172.0,2,2,5,257,45,0.0,0.0,0.0,5.0
IMPEY Daryl,265.0,256.0,2,3,6,121,38,0.0,0.0,0.0,5.0
KEUKELEIRE Jens,133.0,418.0,1,3,7,457,39,0.0,0.0,0.0,5.0
KREUZIGER Roman,83.0,590.0,0,0,1,75,40,0.0,0.0,0.0,8.0
YATES Simon,72.0,621.0,3,4,8,527,37,0.0,0.0,0.0,48.0
BAUER Jack,802.0,71.0,1,1,2,58,46,0.0,0.0,0.0,5.0
BRAMBILLA Gianluca,32.0,976.0,0,1,4,110,43,0.0,0.0,0.0,0.0
MARTIN Daniel,30.0,993.0,1,9,20,959,36,0.0,2.0,3.0,193.0
STYBAR Zdenek,58.0,736.0,1,4,6,413,43,0.0,0.0,0.0,5.0
VERMOTE Julien,230.0,285.0,0,1,5,154,35,0.0,0.0,0.0,5.0
BOASSON HAGEN Edvald,12.0,1348.0,8,11,18,571,43,0.0,0.0,2.0,9.0
JANSE VAN RENSBURG Reinardt,165.0,357.0,1,2,8,219,30,0.0,0.0,0.0,0.0
PAUWELS Serge,223.0,291.0,2,2,3,176,38,0.0,0.0,0.0,5.0
THWAITES Scott,196.0,322.0,0,0,4,138,36,0.0,0.0,0.0,5.0
VENTER Jaco,495.0,141.0,0,0,0,41,32,0.0,0.0,0.0,5.0
HALLER Marco,542.0,125.0,0,0,1,16,29,0.0,0.0,0.0,5.0
HOLLENSTEIN Reto,152.0,377.0,0,0,3,99,37,0.0,0.0,0.0,5.0
KRISTOFF Alexander,6.0,1961.0,6,14,21,812,46,0.0,1.0,2.0,31.0
LAMMERTINK Maurits,162.0,365.0,1,1,4,194,41,0.0,0.0,0.0,5.0
MACHADO Tiago Jose Pinto,496.0,140.0,0,0,2,85,43,0.0,0.0,0.0,0.0
MARTIN Tony,66.0,657.0,2,6,9,311,35,0.0,1.0,1.0,33.0
POLITT Nils,270.0,254.0,0,1,7,168,39,0.0,0.0,0.0,5.0
ZABEL Rick,484.0,146.0,0,2,5,164,41,0.0,0.0,0.0,5.0
MARTENS Paul,583.0,113.0,0,0,3,155,46,0.0,0.0,0.0,5.0
FROOME Chris,2.0,2552.0,0,3,10,270,27,0.0,1.0,4.0,156.0
KNEES Christian,923.0,56.0,0,0,0,30,31,0.0,0.0,0.0,5.0
KWIATKOWSKI Michal,78.0,611.0,3,9,15,1036,39,0.0,0.0,0.0,5.0
NIEVE ITURRALDE Mikel,122.0,442.0,0,1,4,144,38,0.0,0.0,3.0,81.0
ROWE Luke,203.0,315.0,1,2,5,271,39,0.0,0.0,0.0,0.0
ARNDT Nikias,135.0,409.0,1,1,3,230,33,0.0,0.0,0.0,5.0
BARGUIL Warren,76.0,613.0,0,0,4,245,35,0.0,0.0,0.0,6.0
CURVERS Roy,613.0,106.0,0,0,0,35,37,0.0,0.0,0.0,5.0
MATTHEWS Michael,18.0,1234.0,2,3,16,522,37,1.0,1.0,5.0,77.0
SINKELDAM Ramon,490.0,142.0,2,3,7,207,40,0.0,0.0,0.0,5.0
TEUNISSEN Mike,584.0,113.0,0,0,1,85,37,0.0,0.0,0.0,5.0
TIMMER Albert,1032.0,45.0,1,3,3,47,35,0.0,0.0,0.0,5.0
CONTADOR VELASCO Alberto,7.0,1698.0,0,10,19,881,43,0.0,0.0,3.0,62.0
DE KORT Koen,563.0,117.0,0,0,1,70,45,0.0,0.0,0.0,5.0
DEGENKOLB John,97.0,550.0,1,9,22,834,43,0.0,1.0,2.0,25.0
GOGL Michael,336.0,208.0,0,1,3,127,42,0.0,0.0,0.0,5.0
IRIZAR ARANBURU Markel,968.0,51.0,0,0,0,20,42,0.0,0.0,0.0,5.0
PANTANO GOMEZ Jarlinson,65.0,674.0,1,3,5,250,43,0.0,0.0,0.0,0.0
ZUBELDIA AGIRRE Haimar,384.0,182.0,0,0,2,84,43,0.0,0.0,0.0,5.0
ATAPUMA HURTADO Jhon Darwin,60.0,732.0,0,0,1,107,25,0.0,0.0,0.0,5.0
BONO Matteo,705.0,85.0,0,0,0,20,30,0.0,0.0,0.0,5.0
DURASEK Kristijan,588.0,111.0,1,1,1,41,40,0.0,0.0,0.0,0.0
LAENGEN Vegard Stake,472.0,152.0,0,0,2,168,42,0.0,0.0,0.0,5.0
MEINTJES Louis,95.0,551.0,0,1,5,264,45,0.0,1.0,2.0,108.0
SWIFT Ben,77.0,612.0,0,1,8,166,44,0.0,1.0,3.0,35.0
ULISSI Diego,9.0,1574.0,1,4,14,545,51,0.0,1.0,1.0,29.0
BARDET Romain,30.0,1162.0,1,6,17,772,32,0.0,2.0,6.0,203.0
DILLIER Silvan,72.0,653.0,1,3,5,361,37,0.0,0.0,0.0,5.0
FRANK Mathias,156.0,375.0,0,0,7,238,51,0.0,0.0,1.0,30.0
LATOUR Pierre,124.0,453.0,1,3,17,539,42,0.0,0.0,5.0,106.0
NAESEN Oliver,37.0,1019.0,0,2,7,433,41,0.0,0.0,2.0,15.0
CORT NIELSEN Magnus,112.0,480.0,2,6,17,424,47,0.0,0.0,2.0,13.0
FRAILE MATARRANZ Omar,257.0,263.0,2,4,4,225,37,0.0,0.0,0.0,5.0
FUGLSANG Jakob,67.0,703.0,1,7,16,786,39,0.0,2.0,3.0,224.0
HANSEN Jesper,233.0,279.0,0,0,1,145,38,0.0,0.0,0.0,12.0
KANGERT Tanel,926.0,58.0,1,1,1,123,44,0.0,0.0,0.0,60.0
VALGREN ANDERSEN Michael,111.0,483.0,2,2,3,627,38,0.0,0.0,0.0,14.0
COLBRELLI Sonny,33.0,1120.0,3,8,20,572,44,1.0,1.0,3.0,56.0
HAUSSLER Heinrich,899.0,60.0,0,0,0,78,24,0.0,0.0,0.0,5.0
IZAGIRRE INSAUSTI Gorka,100.0,530.0,1,7,20,691,51,0.0,1.0,1.0,23.0
IZAGIRRE INSAUSTI Ion,46.0,904.0,0,5,12,576,51,0.0,0.0,1.0,38.0
KOREN Kristjan,933.0,57.0,1,1,5,66,40,0.0,0.0,1.0,5.0
PELLIZOTTI Franco,432.0,166.0,0,0,0,25,31,0.0,0.0,0.0,5.0
CARUSO Damiano,63.0,747.0,1,5,13,414,42,0.0,1.0,5.0,133.0
GERRANS Simon,148.0,395.0,0,1,5,109,40,0.0,0.0,0.0,5.0
KÜNG Stefan,69.0,660.0,4,7,11,266,39,2.0,2.0,2.0,105.0
SCHÄR Michael,608.0,114.0,0,0,0,51,37,0.0,0.0,0.0,5.0
VAN AVERMAET Greg,2.0,2381.0,5,10,21,785,47,1.0,1.0,2.0,19.0
VAN GARDEREN Tejay,70.0,659.0,2,5,9,379,41,1.0,2.0,2.0,34.0
BODNAR Maciej,271.0,249.0,1,2,10,118,46,0.0,0.0,2.0,17.0
BURGHARDT Marcus,274.0,248.0,0,0,6,125,29,0.0,0.0,1.0,7.0
MÜHLBERGER Gregor,219.0,297.0,0,1,9,167,32,0.0,0.0,2.0,20.0
OSS Daniel,342.0,209.0,0,0,1,138,42,0.0,0.0,0.0,5.0
PÖSTLBERGER Lukas,145.0,405.0,0,0,1,27,23,0.0,0.0,0.0,5.0
SAGAN Peter,3.0,2296.0,6,14,26,1246,43,1.0,2.0,5.0,90.0
DEMARE Arnaud,13.0,1472.0,2,6,10,572,30,1.0,1.0,2.0,50.0
GAUDU David,169.0,352.0,0,0,4,155,34,0.0,0.0,0.0,5.0
GUARNIERI Jacopo,1950.0,10.0,0,0,0,20,25,0.0,0.0,0.0,5.0
LE GAC Olivier,533.0,134.0,1,1,3,127,29,0.0,0.0,0.0,5.0
LUDVIGSSON Tobias,671.0,100.0,1,2,2,43,21,0.0,0.0,0.0,5.0
MOLARD Rudy,302.0,227.0,1,4,10,311,40,0.0,0.0,1.0,7.0
SINKELDAM Ramon,272.0,249.0,1,1,2,110,28,0.0,0.0,1.0,5.0
VICHOT Arthur,97.0,536.0,2,4,10,326,23,0.0,0.0,4.0,70.0
DE BUYST Jasper,66.0,710.0,0,2,4,117,37,0.0,0.0,0.0,5.0
DE GENDT Thomas,146.0,398.0,2,4,5,164,49,0.0,1.0,1.0,4.0
MARCZYNSKI Tomasz,255.0,263.0,0,1,1,29,23,0.0,1.0,1.0,9.0
HEPBURN Michael,473.0,151.0,1,3,6,65,40,0.0,0.0,0.0,5.0
IMPEY Daryl,282.0,242.0,8,16,19,838,49,1.0,2.0,3.0,81.0
YATES Adam,53.0,847.0,2,9,18,671,33,1.0,3.0,6.0,268.0
AMADOR BIKKAZAKOVA Andrey,297.0,231.0,1,2,4,211,41,0.0,0.0,1.0,5.0
BENNATI Daniele,337.0,211.0,0,0,1,39,31,0.0,0.0,0.0,5.0
ERVITI OLLO Imanol,394.0,179.0,0,0,1,36,39,0.0,0.0,1.0,5.0
LANDA MEANA Mikel,19.0,1336.0,1,4,13,500,33,0.0,0.0,2.0,34.0
QUINTANA ROJAS Nairo Alexander,9.0,1560.0,1,7,14,606,31,1.0,2.0,4.0,209.0
SOLER GIMENEZ Marc,118.0,472.0,1,5,15,656,44,0.0,0.0,1.0,34.0
ALAPHILIPPE Julian,39.0,1011.0,5,9,19,860,44,1.0,2.0,3.0,92.0
JUNGELS Bob,58.0,784.0,2,3,12,512,37,0.0,0.0,2.0,14.0
LAMPAERT Yves,86.0,578.0,3,8,10,507,38,0.0,2.0,2.0,27.0
RICHEZE ARAQUISTAIN Maximiliano Ariel,176.0,341.0,1,6,9,132,39,0.0,1.0,1.0,4.0
TERPSTRA Niki,140.0,417.0,4,6,14,854,36,0.0,0.0,1.0,1.0
BOASSON HAGEN Edvald,28.0,1205.0,2,6,12,545,40,0.0,1.0,1.0,33.0
JANSE VAN RENSBURG Reinardt,222.0,290.0,0,0,3,2,14,0.0,0.0,1.0,2.0
SLAGTER Tom-Jelte,152.0,393.0,0,3,4,280,45,0.0,1.0,1.0,29.0
THOMSON Jay Robert,891.0,61.0,0,0,1,35,39,0.0,0.0,0.0,5.0
VERMOTE Julien,306.0,226.0,0,0,1,110,41,0.0,0.0,0.0,5.0
CLARKE Simon,431.0,167.0,0,0,6,115,40,0.0,0.0,0.0,5.0
CRADDOCK Lawson,1733.0,15.0,0,1,4,104,44,0.0,0.0,0.0,5.0
PHINNEY Taylor,1206.0,36.0,0,0,2,117,34,0.0,0.0,0.0,5.0
ROLLAND Pierre,182.0,333.0,0,0,3,135,43,0.0,0.0,2.0,90.0
VANMARCKE Sep,83.0,602.0,0,2,7,491,35,0.0,0.0,1.0,5.0
BOSWELL Ian,318.0,220.0,0,0,0,36,35,0.0,0.0,0.0,5.0
KOCHETKOV Pavel,1121.0,42.0,0,0,0,41,41,0.0,0.0,0.0,5.0
ZAKARIN Ilnur,23.0,1272.0,0,0,4,190,34,0.0,0.0,3.0,73.0
KRUIJSWIJK Steven,93.0,554.0,0,0,9,362,32,0.0,0.0,3.0,91.0
TOLHOEK Antwan,373.0,193.0,0,1,8,138,27,0.0,0.0,2.0,60.0
CASTROVIEJO NICOLAS Jonathan,68.0,681.0,2,5,7,235,39,1.0,1.0,2.0,17.0
KWIATKOWSKI Michal,11.0,1516.0,7,11,17,805,43,2.0,2.0,3.0,99.0
ROWE Luke,221.0,291.0,1,1,1,39,38,0.0,0.0,0.0,0.0
THOMAS Geraint,55.0,810.0,4,11,15,804,36,2.0,5.0,6.0,372.0
ANDERSEN Søren Kragh,113.0,478.0,1,6,10,199,30,1.0,3.0,3.0,85.0
ARNDT Nikias,166.0,354.0,0,1,4,118,46,0.0,0.0,1.0,5.0
GESCHKE Simon,572.0,123.0,0,3,6,60,33,0.0,0.0,0.0,5.0
TEN DAM Laurens,602.0,115.0,0,0,0,54,50,0.0,0.0,0.0,0.0
THEUNS Edward,74.0,645.0,0,3,8,140,35,0.0,0.0,0.0,5.0
BERNARD Julien,737.0,87.0,0,1,4,68,39,0.0,0.0,0.0,10.0
DE KORT Koen,531.0,134.0,0,1,6,74,38,0.0,0.0,0.0,5.0
DEGENKOLB John,41.0,999.0,2,3,8,270,32,0.0,0.0,1.0,8.0
GOGL Michael,483.0,147.0,0,1,7,134,36,0.0,0.0,1.0,7.0
MOLLEMA Bauke,32.0,1129.0,1,3,12,477,41,0.0,0.0,1.0,59.0
SKUJINS Toms,379.0,190.0,3,3,6,177,44,0.0,0.0,2.0,5.0
STUYVEN Jasper,34.0,1064.0,0,1,12,615,42,0.0,0.0,2.0,11.0
FERRARI Roberto,561.0,125.0,0,1,4,49,39,0.0,0.0,0.0,5.0
KRISTOFF Alexander,5.0,1969.0,4,5,23,685,54,0.0,1.0,2.0,23.0
MARTIN Daniel,15.0,1393.0,1,3,8,370,37,1.0,3.0,5.0,230.0
SUTHERLAND Rory,509.0,140.0,0,0,0,10,28,0.0,0.0,0.0,5.0
TROIA Oliviero,930.0,58.0,0,0,4,24,33,0.0,0.0,0.0,5.0
