Rider,rank_start,point_start,win,podium,top_ten,points,race_days,win_dauphine,podium_dauphine,top_ten_dauphine,points_dauphine
MARTIN Tony,14.0,1320.0,7,9,15,798,55,2.0,2.0,4.0,316.0
RENSHAW Mark,243.0,261.0,1,4,6,71,37,0.0,0.0,0.0,0.0
TERPSTRA Niki,38.0,821.0,4,6,16,1174,42,0.0,0.0,0.0,0.0
TRENTIN Matteo,316.0,196.0,1,1,7,163,43,1.0,1.0,1.0,50.0
ALBASINI Michael,198.0,312.0,3,5,8,347,44,0.0,1.0,1.0,33.0
CLARKE Simon,277.0,227.0,2,4,7,256,42,0.0,0.0,0.0,5.0
KEUKELEIRE Jens,341.0,179.0,0,0,8,115,35,0.0,0.0,2.0,13.0
MEIER Christian,564.0,104.0,0,1,2,69,48,0.0,0.0,0.0,5.0
COQUARD Bryan,51.0,742.0,5,7,14,374,44,0.0,0.0,0.0,5.0
GAUTIER Cyril,233.0,271.0,0,1,11,304,51,0.0,0.0,0.0,5.0
GENE Yohann,283.0,219.0,1,1,3,49,28,0.0,0.0,0.0,5.0
PICHOT Alexandre,904.0,52.0,0,1,2,79,37,0.0,0.0,0.0,5.0
REZA Kévin,457.0,135.0,0,2,6,194,41,0.0,0.0,0.0,5.0
VOECKLER Thomas,65.0,632.0,0,2,5,133,44,0.0,0.0,0.0,6.0
DE KORT Koen,873.0,55.0,0,0,3,67,39,0.0,0.0,1.0,7.0
DEGENKOLB John,20.0,1166.0,5,18,22,1004,45,0.0,1.0,1.0,18.0
DUMOULIN Tom,71.0,601.0,2,7,11,506,44,0.0,2.0,4.0,176.0
ISAYCHEV Vladimir,527.0,114.0,0,0,0,20,29,0.0,0.0,0.0,5.0
KRISTOFF Alexander,19.0,1192.0,9,11,23,996,55,0.0,0.0,2.0,20.0
SMUKULIS Gatis,776.0,68.0,1,3,3,60,28,0.0,0.0,0.0,5.0
TROFIMOV Yury,264.0,240.0,1,2,6,280,38,1.0,2.0,2.0,107.0
KIRYIENKA Vasil,235.0,270.0,1,2,6,130,34,0.0,0.0,1.0,7.0
LOPEZ GARCIA David,113.0,441.0,0,0,0,51,39,0.0,0.0,0.0,5.0
NIEVE ITURRALDE Mikel,103.0,459.0,1,1,5,235,39,1.0,1.0,2.0,135.0
PATE Danny,1192.0,30.0,0,0,0,25,30,0.0,0.0,0.0,5.0
PORTE Richie,10.0,1486.0,1,3,10,308,34,0.0,0.0,0.0,16.0
THOMAS Geraint,54.0,704.0,2,5,13,693,44,0.0,0.0,0.0,5.0
BENNATI Daniele,232.0,271.0,0,3,7,134,32,0.0,1.0,1.0,33.0
MØRKØV CHRISTENSEN Michael,183.0,332.0,0,4,10,285,44,0.0,0.0,0.0,5.0
PAULINHO Sergio Miguel Moreira,393.0,153.0,0,0,1,12,30,0.0,0.0,0.0,0.0
TOSATTO Matteo,604.0,96.0,0,0,0,25,23,0.0,0.0,0.0,5.0
BUSCHE Matthew,166.0,363.0,0,0,2,78,32,0.0,0.0,0.0,0.0
IRIZAR ARANBURU Markel,500.0,120.0,0,0,2,30,29,0.0,0.0,0.0,5.0
RAST Gregory,336.0,180.0,0,0,1,76,31,0.0,0.0,0.0,5.0
VOIGT Jens,749.0,71.0,0,0,3,36,44,0.0,0.0,1.0,8.0
ZUBELDIA AGIRRE Haimar,404.0,149.0,0,0,2,71,28,0.0,0.0,0.0,8.0
BAKELANTS Jan,127.0,417.0,0,2,9,296,47,0.0,1.0,1.0,54.0
BARDET Romain,25.0,1149.0,1,3,14,535,46,1.0,1.0,4.0,161.0
CHEREL Mikael,259.0,246.0,0,0,0,72,46,0.0,0.0,0.0,5.0
GAUDIN Damien,804.0,66.0,0,0,4,145,35,0.0,0.0,0.0,5.0
PERAUD Jean-Christophe,16.0,1312.0,2,2,5,258,43,0.0,0.0,0.0,5.0
RIBLON Christophe,348.0,198.0,0,0,0,18,29,0.0,0.0,0.0,0.0
VUILLERMOZ Alexis,159.0,358.0,1,1,11,355,39,0.0,0.0,1.0,9.0
FUGLSANG Jakob,105.0,482.0,0,0,14,384,32,0.0,0.0,4.0,6.0
GRIVKO Andriy,286.0,230.0,0,2,6,123,42,0.0,1.0,1.0,12.0
GRUZDEV Dmitriy,678.0,85.0,0,0,0,59,30,0.0,0.0,0.0,5.0
NIBALI Vincenzo,3.0,2014.0,1,3,6,418,33,0.0,2.0,2.0,100.0
SCARPONI Michele,279.0,234.0,0,1,7,258,38,0.0,1.0,2.0,17.0
WESTRA Lieuwe,336.0,204.0,0,2,3,57,36,0.0,1.0,1.0,12.0
DENNIS Rohan,91.0,528.0,3,7,9,434,47,1.0,1.0,1.0,38.0
OSS Daniel,377.0,181.0,1,1,8,210,30,1.0,1.0,1.0,16.0
QUINZIATO Manuel,411.0,164.0,0,0,0,49,26,0.0,0.0,0.0,5.0
SANCHEZ GONZALEZ Samuel,77.0,589.0,0,1,4,174,32,0.0,0.0,0.0,5.0
SCHÄR Michael,435.0,155.0,0,0,0,41,35,0.0,0.0,0.0,5.0
WYSS Danilo,622.0,97.0,1,1,7,162,46,0.0,0.0,1.0,6.0
CAVENDISH Mark,60.0,642.0,13,19,20,746,49,0.0,0.0,1.0,8.0
GOLAS Michal,291.0,228.0,0,1,1,96,35,0.0,0.0,0.0,5.0
STYBAR Zdenek,59.0,646.0,1,5,9,653,34,0.0,0.0,0.0,5.0
TRENTIN Matteo,157.0,362.0,0,1,5,201,26,0.0,0.0,2.0,7.0
VERMOTE Julien,261.0,245.0,0,0,2,110,35,0.0,0.0,0.0,0.0
CHAVANEL Sébastien,1203.0,30.0,0,0,1,10,31,0.0,0.0,0.0,0.0
DEMARE Arnaud,11.0,1501.0,2,5,12,193,42,0.0,0.0,1.0,5.0
LADAGNOUS Matthieu,459.0,145.0,0,0,5,148,40,0.0,0.0,0.0,5.0
PINOT Thibaut,33.0,1023.0,2,5,17,772,47,1.0,2.0,5.0,254.0
ROY Jérémy,234.0,265.0,0,0,0,45,49,0.0,0.0,0.0,5.0
VAUGRENARD Benoît,683.0,84.0,0,0,0,30,41,0.0,0.0,0.0,5.0
BRÄNDLE Matthias,182.0,325.0,2,3,6,125,41,0.0,1.0,1.0,23.0
CLEMENT Stef,268.0,240.0,0,1,6,55,50,0.0,0.0,1.0,5.0
ELMIGER Martin,322.0,208.0,0,1,7,299,36,0.0,0.0,0.0,5.0
FRANK Mathias,48.0,767.0,0,1,5,117,33,0.0,0.0,2.0,0.0
HOLLENSTEIN Reto,727.0,78.0,0,1,3,33,24,0.0,0.0,1.0,5.0
PANTANO GOMEZ Jarlinson,333.0,205.0,0,1,5,178,38,0.0,0.0,1.0,5.0
WYSS Marcel,383.0,177.0,0,0,3,34,29,0.0,0.0,1.0,5.0
BONO Matteo,940.0,50.0,0,0,0,35,45,0.0,0.0,0.0,5.0
CIMOLAI Davide,379.0,180.0,2,4,6,336,36,0.0,1.0,1.0,23.0
DURASEK Kristijan,288.0,229.0,2,3,4,284,33,1.0,1.0,1.0,83.0
OLIVEIRA Nelson Filipe Santos Simoes,275.0,238.0,1,1,2,81,28,0.0,0.0,1.0,5.0
PLAZA MOLINA Ruben,639.0,94.0,0,0,1,41,33,0.0,0.0,1.0,26.0
POZZATO Filippo,264.0,241.0,0,0,4,135,29,0.0,0.0,0.0,0.0
SERPA PEREZ Jose Rodolfo,327.0,207.0,0,0,2,81,37,0.0,0.0,1.0,5.0
VALLS FERRI Rafael,477.0,135.0,2,2,9,445,35,0.0,0.0,1.0,60.0
DE GENDT Thomas,900.0,54.0,0,0,2,38,39,0.0,0.0,0.0,5.0
GALLOPIN Tony,34.0,1015.0,2,6,14,638,35,0.0,0.0,1.0,16.0
WELLENS Tim,49.0,748.0,0,2,6,221,33,0.0,0.0,0.0,0.0
ANACONA GOMEZ Winner Andrew,198.0,308.0,0,0,2,48,31,0.0,0.0,1.0,23.0
CASTROVIEJO NICOLAS Jonathan,352.0,195.0,1,2,7,159,42,0.0,1.0,1.0,34.0
HERRADA LOPEZ Jose,374.0,183.0,1,1,1,115,40,0.0,0.0,0.0,0.0
IZAGIRRE INSAUSTI Gorka,213.0,289.0,0,3,7,274,43,0.0,1.0,1.0,27.0
MALORI Adriano,115.0,453.0,4,7,9,312,34,0.0,0.0,2.0,15.0
VALVERDE BELMONTE Alejandro,1.0,3152.0,7,17,23,1654,37,0.0,2.0,4.0,103.0
MATTHEWS Michael,35.0,980.0,5,10,14,699,43,1.0,1.0,1.0,45.0
TUFT Svein,184.0,321.0,0,1,1,10,20,0.0,0.0,0.0,5.0
YATES Adam,57.0,662.0,0,0,4,103,22,0.0,0.0,1.0,21.0
YATES Simon,329.0,207.0,0,3,12,428,38,0.0,1.0,5.0,159.0
KOREN Kristjan,144.0,374.0,0,0,0,39,32,0.0,0.0,0.0,5.0
MARTIN Daniel,30.0,1076.0,0,1,8,231,38,0.0,0.0,4.0,105.0
NAVARDAUSKAS Ramunas,46.0,806.0,2,5,20,294,46,0.0,0.0,2.0,6.0
TALANSKY Andrew,88.0,534.0,1,1,8,135,36,0.0,0.0,4.0,73.0
VAN BAARLE Dylan,143.0,379.0,0,1,4,203,34,0.0,0.0,0.0,5.0
BARGUIL Warren,84.0,546.0,0,1,2,186,31,0.0,1.0,1.0,72.0
DE KORT Koen,660.0,88.0,0,0,2,30,35,0.0,0.0,0.0,5.0
DEGENKOLB John,6.0,1902.0,5,10,16,953,42,0.0,0.0,1.0,15.0
GESCHKE Simon,93.0,526.0,0,1,4,86,41,0.0,0.0,0.0,0.0
PREIDLER Georg,420.0,162.0,1,1,3,103,41,0.0,0.0,0.0,5.0
TIMMER Albert,415.0,163.0,0,0,0,25,37,0.0,0.0,0.0,5.0
CARUSO Giampaolo,106.0,481.0,0,0,3,170,36,0.0,0.0,0.0,5.0
GUARNIERI Jacopo,535.0,116.0,0,0,1,17,31,0.0,0.0,0.0,5.0
HALLER Marco,565.0,109.0,2,5,7,292,28,0.0,0.0,1.0,15.0
KRISTOFF Alexander,4.0,1964.0,18,24,37,1868,64,1.0,2.0,2.0,68.0
LOSADA ALGUACIL Alberto,534.0,116.0,0,0,4,91,33,0.0,0.0,0.0,5.0
MACHADO Tiago Jose Pinto,56.0,673.0,0,5,12,399,40,0.0,0.0,0.0,5.0
RODRIGUEZ OLIVER Joaquim,24.0,1150.0,3,7,12,814,29,0.0,0.0,3.0,100.0
GESINK Robert,225.0,274.0,0,0,7,197,27,0.0,0.0,3.0,80.0
KELDERMAN Wilco,41.0,876.0,1,2,11,292,36,0.0,0.0,1.0,16.0
LEEZER Tom,665.0,87.0,0,0,0,35,30,0.0,0.0,0.0,5.0
MARTENS Paul,194.0,309.0,0,1,2,88,25,0.0,0.0,0.0,5.0
TANKINK Bram,294.0,226.0,0,0,1,30,29,0.0,0.0,1.0,5.0
TEN DAM Laurens,170.0,348.0,0,0,1,45,36,0.0,0.0,0.0,20.0
VAN EMDEN Jos,299.0,223.0,0,2,3,66,34,0.0,0.0,1.0,5.0
VANMARCKE Sep,39.0,887.0,0,0,5,354,31,0.0,0.0,1.0,7.0
FROOME Chris,12.0,1437.0,6,9,14,674,33,3.0,4.0,6.0,368.0
POELS Wout,164.0,353.0,1,1,4,196,31,0.0,0.0,1.0,6.0
ROCHE Nicolas,121.0,435.0,0,0,1,32,36,0.0,0.0,1.0,5.0
ROWE Luke,500.0,127.0,1,1,6,311,44,0.0,0.0,0.0,0.0
STANNARD Ian,252.0,250.0,2,3,6,330,46,0.0,0.0,0.0,5.0
THOMAS Geraint,37.0,914.0,4,8,18,926,50,0.0,1.0,6.0,213.0
MAJKA Rafal,21.0,1168.0,0,0,11,338,45,0.0,0.0,2.0,70.0
SAGAN Peter,9.0,1606.0,8,19,33,1080,47,2.0,4.0,6.0,162.0
ARREDONDO MORENO Julian David,55.0,675.0,0,1,7,159,38,0.0,1.0,2.0,33.0
DEVOLDER Stijn,496.0,127.0,0,2,5,231,36,0.0,0.0,1.0,5.0
IRIZAR ARANBURU Markel,715.0,79.0,0,0,0,30,29,0.0,0.0,0.0,5.0
JUNGELS Bob,272.0,240.0,4,6,11,425,45,0.0,0.0,2.0,113.0
MOLLEMA Bauke,27.0,1104.0,0,4,7,392,35,0.0,0.0,0.0,5.0
RAST Gregory,598.0,101.0,0,0,0,68,32,0.0,0.0,0.0,5.0
ZUBELDIA AGIRRE Haimar,173.0,342.0,0,0,2,88,32,0.0,0.0,0.0,5.0
BAKELANTS Jan,31.0,973.0,1,5,13,401,45,0.0,0.0,0.0,30.0
BARDET Romain,25.0,1071.0,0,9,24,803,47,0.0,3.0,5.0,246.0
CHEREL Mikael,372.0,191.0,0,1,7,153,46,0.0,0.0,0.0,14.0
DUMOULIN Samuel,168.0,363.0,3,5,13,470,35,0.0,0.0,1.0,8.0
GASTAUER Ben,312.0,222.0,0,0,2,59,41,0.0,0.0,0.0,5.0
GAUTIER Cyril,362.0,196.0,1,1,4,182,41,0.0,0.0,0.0,5.0
GOUGEARD Alexis,101.0,503.0,0,0,1,59,25,0.0,0.0,0.0,0.0
VUILLERMOZ Alexis,57.0,698.0,0,3,9,287,37,0.0,0.0,0.0,5.0
ARU Fabio,6.0,1756.0,1,2,6,178,30,1.0,1.0,1.0,50.0
GRIVKO Andriy,222.0,307.0,2,3,4,200,31,0.0,0.0,0.0,5.0
LUTSENKO Alexey,179.0,349.0,1,3,4,223,30,0.0,0.0,0.0,5.0
ROSA Diego,98.0,507.0,1,1,9,327,38,0.0,0.0,4.0,94.0
SANCHEZ GIL Luis Leon,134.0,427.0,2,4,9,421,52,0.0,0.0,0.0,5.0
TIRALONGO Paolo,275.0,250.0,0,0,0,24,33,0.0,0.0,0.0,5.0
BOOKWALTER Brent,78.0,596.0,0,1,8,205,42,0.0,0.0,0.0,5.0
BURGHARDT Marcus,315.0,218.0,0,0,0,67,30,0.0,0.0,0.0,5.0
CARUSO Damiano,209.0,320.0,1,1,3,211,36,0.0,0.0,0.0,18.0
MOINARD Amaël,298.0,230.0,0,0,1,70,38,0.0,0.0,0.0,5.0
PORTE Richie,14.0,1359.0,1,8,15,756,38,0.0,2.0,5.0,192.0
SCHÄR Michael,527.0,126.0,0,0,2,92,31,0.0,0.0,0.0,6.0
VAN AVERMAET Greg,9.0,1685.0,4,10,21,945,39,0.0,0.0,2.0,12.0
VAN GARDEREN Tejay,68.0,622.0,3,4,16,500,38,1.0,1.0,5.0,170.0
