team,Rider,Date of birth,rank_start,point_start,rank_end,point_end,Comments,Country
ALM,BAGDONAS Gediminas,26/12/1985,317.0,226.0,599.0,118.0,,LTU
ALM,BARDET Romain,09/11/1990,14.0,1492.0,23.0,1222.0,,FRA
ALM,BIDARD François,19/03/1992,523.0,137.0,502.0,143.0,,FRA
ALM,BOUCHARD Geoffrey,01/04/1992,1140.0,42.0,783.0,82.0,,FRA
ALM,CHEREL Mikael,17/03/1986,492.0,147.0,579.0,121.0,,FRA
ALM,CHEVRIER Clément,29/06/1992,1416.0,25.0,1132.0,43.0,,FRA
ALM,COSNEFROY Benoit,17/10/1995,311.0,229.0,149.0,428.0,,FRA
ALM,DENZ Nico,15/02/1994,264.0,262.0,307.0,228.0,,GER
ALM,DILLIER Silvan,03/08/1990,121.0,498.0,353.0,206.0,,SUI
ALM,DOMONT Axel,07/08/1990,1083.0,45.0,1834.0,12.0,,FRA
ALM,DUMOULIN Samuel,20/08/1980,205.0,316.0,533.0,134.0,,FRA
ALM,DUPONT Hubert,13/11/1980,382.0,185.0,592.0,119.0,,FRA
ALM,DUVAL Julien,27/05/1990,587.0,117.0,901.0,66.0,,FRA
ALM,FRANK Mathias,09/12/1986,156.0,398.0,173.0,371.0,,SUI
ALM,GALLOPIN Tony,24/05/1988,108.0,534.0,152.0,419.0,,FRA
ALM,GASTAUER Ben,14/11/1987,704.0,92.0,718.0,92.0,,LUX
ALM,GENIEZ Alexandre,16/04/1988,117.0,509.0,389.0,183.0,,FRA
ALM,GODON Dorian,25/05/1996,614.0,111.0,603.0,118.0,,FRA
ALM,GOUGEARD Alexis,05/03/1993,377.0,187.0,269.0,262.0,,FRA
ALM,HÄNNINEN Jaakko,16/04/1997,1063.0,48.0,1118.0,45.0,Contract from 1/08,FIN
ALM,JAUREGUI Quentin,22/04/1994,499.0,145.0,319.0,222.0,,FRA
ALM,LATOUR Pierre,12/10/1993,53.0,810.0,327.0,218.0,,FRA
ALM,NAESEN Oliver,16/09/1990,34.0,1015.0,22.0,1237.0,,BEL
ALM,PARET-PEINTRE Aurélien,27/02/1996,1071.0,47.0,536.0,134.0,,FRA
ALM,PETERS Nans,12/03/1994,452.0,161.0,255.0,272.0,,FRA
ALM,VANDENBERGH Stijn,25/04/1984,633.0,105.0,400.0,180.0,,BEL
ALM,VENTURINI Clément,16/10/1993,389.0,183.0,274.0,260.0,,FRA
ALM,VUILLERMOZ Alexis,01/06/1988,139.0,440.0,180.0,357.0,,FRA
ALM,WARBASSE Larry,28/06/1990,517.0,139.0,650.0,106.0,,USA
AST,BALLERINI Davide,21/09/1994,118.0,508.0,145.0,436.0,,ITA
AST,BILBAO LOPEZ DE ARMENTIA Pello,25/02/1990,82.0,605.0,82.0,632.0,,ESP
AST,BIZHIGITOV Zhandos,10/06/1991,906.0,62.0,696.0,97.0,,KAZ
AST,BOARO Manuele,12/03/1987,721.0,89.0,632.0,111.0,,ITA
AST,BOHORQUEZ SANCHEZ Hernando,22/06/1992,442.0,165.0,457.0,155.0,,COL
AST,CATALDO Dario,17/03/1985,304.0,231.0,294.0,240.0,,ITA
AST,CONTRERAS PINZON Rodrigo,02/06/1994,1215.0,36.0,623.0,114.0,,COL
AST,CORT NIELSEN Magnus,16/01/1993,92.0,581.0,200.0,334.0,,DEN
AST,DE VREESE Laurens,29/09/1988,1117.0,43.0,668.0,103.0,,BEL
AST,FOMINYKH Daniil,28/08/1991,881.0,64.0,613.0,115.0,,KAZ
AST,FRAILE MATARRANZ Omar,17/07/1990,159.0,395.0,289.0,242.0,,ESP
AST,FUGLSANG Jakob,22/03/1985,31.0,1045.0,5.0,1870.0,,DEN
AST,GIDICH Yevgeniy,19/05/1996,289.0,242.0,328.0,218.0,,KAZ
AST,GREGAARD WILSLY Jonas,30/07/1996,1216.0,36.0,850.0,73.0,,DEN
AST,GRUZDEV Dmitriy,13/03/1986,1313.0,30.0,858.0,71.0,,KAZ
AST,HIRT Jan,21/01/1991,502.0,144.0,160.0,400.0,,CZE
AST,HOULE Hugo,27/09/1990,252.0,272.0,265.0,263.0,,CAN
AST,IZAGIRRE INSAUSTI Gorka,07/10/1987,46.0,884.0,161.0,398.0,,ESP
AST,IZAGIRRE INSAUSTI Ion,04/02/1989,22.0,1155.0,21.0,1242.0,,ESP
