Rider,tdf_top10
RICHEZE ARAQUISTAIN Maximiliano Ariel,0
VAKOC Petr,0
VERMOTE Julien,0
BONNET William,0
MORABITO Steve,0
REICHENBACH Sébastien,0
ROUX Anthony,0
ROY Jérémy,0
VICHOT Arthur,0
CLEMENT Stef,0
COPPEL Jérôme,0
ELMIGER Martin,0
ENGER Sondre Holst,0
HOLLENSTEIN Reto,0
NAESEN Oliver,0
PANTANO GOMEZ Jarlinson,0
ARASHIRO Yukiya,0
BONO Matteo,0
CIMOLAI Davide,0
COSTA Rui Alberto Faria,0
DURASEK Kristijan,0
GRMAY Tsgabu Gebremaryam,0
MEINTJES Louis,1
PIBERNIK Luka,0
POLANC Jan,0
DE GENDT Thomas,0
GALLOPIN Tony,0
ROELANDTS Jürgen,0
ANACONA GOMEZ Winner Andrew,0
IZAGIRRE INSAUSTI Ion,0
MORENO FERNANDEZ Daniel,0
OLIVEIRA Nelson Filipe Santos Simoes,0
ALBASINI Michael,0
DURBRIDGE Luke,0
HAYMAN Mathew,0
IMPEY Daryl,0
JUUL JENSEN Christopher,0
MATTHEWS Michael,0
YATES Adam,1
BERHANE Natnael Teweldemedhin,0
BOASSON HAGEN Edvald,0
CUMMINGS Stephen,0
JANSE VAN RENSBURG Reinardt,0
PAUWELS Serge,0
TEKLEHAIMANOT Daniel Girmazion,0
BARGUIL Warren,0
CURVERS Roy,0
DEGENKOLB John,0
GESCHKE Simon,0
SINKELDAM Ramon,0
TEN DAM Laurens,0
GUARNIERI Jacopo,0
HALLER Marco,0
KRISTOFF Alexander,0
LOSADA ALGUACIL Alberto,0
RODRIGUEZ OLIVER Joaquim,1
VICIOSO ARCOS Angel,0
BENNETT George,0
KELDERMAN Wilco,0
LINDEMAN Bert-Jan,0
MARTENS Paul,0
FROOME Chris,1
HENAO MONTOYA Sergio Luis,0
KIRYIENKA Vasil,0
LANDA MEANA Mikel,0
POELS Wout,0
ROWE Luke,0
STANNARD Ian,0
THOMAS Geraint,0
BODNAR Maciej,0
GATTO Oscar,0
KISERLOVSKI Robert,0
KREUZIGER Roman,1
SAGAN Peter,0
VALGREN ANDERSEN Michael,0
IRIZAR ARANBURU Markel,0
MOLLEMA Bauke,0
RAST Gregory,0
SCHLECK Fränk,0
STETINA Peter,0
STUYVEN Jasper,0
ZUBELDIA AGIRRE Haimar,0
BAKELANTS Jan,0
BARDET Romain,1
DOMONT Axel,0
FRANK Mathias,0
GAUTIER Cyril,0
LATOUR Pierre,0
NAESEN Oliver,0
VUILLERMOZ Alexis,0
ARU Fabio,1
GRUZDEV Dmitriy,0
KOZHATAYEV Bakhtiyar,0
LUTSENKO Alexey,0
VALGREN ANDERSEN Michael,0
ARASHIRO Yukiya,0
BOLE Grega,0
BOZIC Borut,0
BRAJKOVIC Janez,0
COLBRELLI Sonny,0
GRMAY Tsgabu Gebremaryam,0
MORENO BAZAN Javier,0
CARUSO Damiano,0
DE MARCHI Alessandro,0
KÜNG Stefan,0
MOINARD Amaël,0
ROCHE Nicolas,0
SCHÄR Michael,0
VAN AVERMAET Greg,0
WYSS Danilo,0
BODNAR Maciej,0
BUCHMANN Emanuel,0
BURGHARDT Marcus,0
MCCARTHY Jay,0
BETTIOL Alberto,0
BEVIN Patrick,0
BROWN Nathan,0
CLARKE Simon,0
PHINNEY Taylor,0
TALANSKY Andrew,0
VAN BAARLE Dylan,0
CIMOLAI Davide,0
LE GAC Olivier,0
BENOOT Tiesj,0
DE GENDT Thomas,0
GALLOPIN Tony,0
ROELANDTS Jürgen,0
BETANCUR GOMEZ Carlos Alberto,0
CASTROVIEJO NICOLAS Jonathan,0
ERVITI OLLO Imanol,0
HERRADA LOPEZ Jesus,0
SÜTTERLIN Jasha,0
ALBASINI Michael,0
CHAVES RUBIO Jhoan Esteban,0
HAYMAN Mathew,0
HOWSON Damien,0
IMPEY Daryl,0
KEUKELEIRE Jens,0
KREUZIGER Roman,0
YATES Simon,1
BAUER Jack,0
BRAMBILLA Gianluca,0
MARTIN Daniel,1
STYBAR Zdenek,0
VERMOTE Julien,0
BOASSON HAGEN Edvald,0
JANSE VAN RENSBURG Reinardt,0
PAUWELS Serge,0
THWAITES Scott,0
VENTER Jaco,0
HALLER Marco,0
HOLLENSTEIN Reto,0
KRISTOFF Alexander,0
LAMMERTINK Maurits,0
MACHADO Tiago Jose Pinto,0
MARTIN Tony,0
POLITT Nils,0
ZABEL Rick,0
MARTENS Paul,0
